row_id	arm	choice	p_consistent	p_contradicted	p_not_checkable	confidence	baseline
http-servers#http-servers-sava/src/main/java/software/sava/http_servers/sava/x402/SettlementResponse.java#SettlementResponse.failure(String, String, String, PublicKey)	real	consistent	0.930	0.040	0.020	0.900	1.000
http-servers#http-servers-sava/src/main/java/software/sava/http_servers/sava/x402/SvmExactSettler.java#SvmExactSettler.<init>(SolanaAccounts, Signer, SolanaRpcClient)	real	consistent	0.980	0.010	0.010	0.970	1.000
http-servers#http-servers-sava/src/main/java/software/sava/http_servers/sava/x402/SvmExactSettler.java#SvmExactSettler.settle(PaymentPayload, PaymentRequirements)	real	consistent	1.000	0.000	0.000	0.990	1.000
http-servers#http-servers-sava/src/main/java/software/sava/http_servers/sava/x402/SvmExactVerifier.java#SvmExactVerifier.verify(PaymentPayload, PaymentRequirements)	real	consistent	0.920	0.030	0.050	0.880	0.000
http-servers#http-servers-sava/src/main/java/software/sava/http_servers/sava/x402/SvmExactVerifier.java#SvmExactVerifier.verify(PaymentRequirements, byte[])	real	consistent	0.980	0.000	0.020	0.960	0.000
http-servers#http-servers-sava/src/main/java/software/sava/http_servers/sava/x402/X402.java#X402.COMPUTE_BUDGET_SET_LIMIT	real	consistent	0.690	0.020	0.290	0.550	1.000
http-servers#http-servers-sava/src/main/java/software/sava/http_servers/sava/x402/X402.java#X402.COMPUTE_BUDGET_SET_LIMIT	swapped	contradicted	0.090	0.690	0.220	0.550	1.000
http-servers#http-servers-sava/src/main/java/software/sava/http_servers/sava/x402/X402.java#X402.COMPUTE_BUDGET_SET_PRICE	real	consistent	0.740	0.010	0.250	0.610	1.000
http-servers#http-servers-sava/src/main/java/software/sava/http_servers/sava/x402/X402.java#X402.COMPUTE_BUDGET_SET_PRICE	swapped	not_checkable	0.140	0.320	0.540	0.310	1.000
http-servers#http-servers-sava/src/main/java/software/sava/http_servers/sava/x402/X402.java#X402.LIGHTHOUSE_PROGRAM	real	not_checkable	0.010	0.170	0.820	0.740	1.000
http-servers#http-servers-sava/src/main/java/software/sava/http_servers/sava/x402/X402.java#X402.LIGHTHOUSE_PROGRAM	swapped	not_checkable	0.010	0.220	0.770	0.660	1.000
http-servers#http-servers-sava/src/main/java/software/sava/http_servers/sava/x402/X402.java#X402.MAX_COMPUTE_UNIT_PRICE_MICRO_LAMPORTS	real	consistent	0.590	0.120	0.290	0.380	0.800
http-servers#http-servers-sava/src/main/java/software/sava/http_servers/sava/x402/X402.java#X402.MAX_COMPUTE_UNIT_PRICE_MICRO_LAMPORTS	swapped	contradicted	0.010	0.740	0.250	0.600	1.000
http-servers#http-servers-sava/src/main/java/software/sava/http_servers/sava/x402/X402.java#X402.MAX_MEMO_BYTES	real	consistent	0.820	0.010	0.170	0.730	0.500
http-servers#http-servers-sava/src/main/java/software/sava/http_servers/sava/x402/X402.java#X402.MAX_MEMO_BYTES	swapped	not_checkable	0.010	0.400	0.590	0.390	1.000
http-servers#http-servers-sava/src/main/java/software/sava/http_servers/sava/x402/X402.java#X402.MEMO_PROGRAM_V2	real	not_checkable	0.210	0.050	0.740	0.600	1.000
http-servers#http-servers-sava/src/main/java/software/sava/http_servers/sava/x402/X402.java#X402.MEMO_PROGRAM_V2	swapped	contradicted	0.010	0.530	0.460	0.290	1.000
http-servers#http-servers-sava/src/main/java/software/sava/http_servers/sava/x402/X402.java#X402.PAYMENT_HEADER	real	not_checkable	0.450	0.020	0.530	0.300	1.000
http-servers#http-servers-sava/src/main/java/software/sava/http_servers/sava/x402/X402.java#X402.PAYMENT_HEADER	swapped	not_checkable	0.200	0.030	0.770	0.670	1.000
http-servers#http-servers-sava/src/main/java/software/sava/http_servers/sava/x402/X402.java#X402.PAYMENT_RESPONSE_HEADER	real	not_checkable	0.420	0.020	0.560	0.330	1.000
http-servers#http-servers-sava/src/main/java/software/sava/http_servers/sava/x402/X402.java#X402.PAYMENT_RESPONSE_HEADER	swapped	not_checkable	0.010	0.190	0.800	0.690	1.000
http-servers#http-servers-sava/src/main/java/software/sava/http_servers/sava/x402/X402.java#X402.SOLANA_MAINNET	real	consistent	0.800	0.130	0.070	0.700	1.000
http-servers#http-servers-sava/src/main/java/software/sava/http_servers/sava/x402/X402.java#X402.SOLANA_MAINNET	swapped	not_checkable	0.010	0.180	0.810	0.710	1.000
http-servers#http-servers-sava/src/main/java/software/sava/http_servers/sava/x402/X402.java#X402.SOLANA_NETWORK_PREFIX	real	consistent	0.900	0.040	0.060	0.860	1.000
http-servers#http-servers-sava/src/main/java/software/sava/http_servers/sava/x402/X402.java#X402.SOLANA_NETWORK_PREFIX	swapped	contradicted	0.180	0.680	0.140	0.520	1.000
http-servers#http-servers-sava/src/main/java/software/sava/http_servers/sava/x402/X402.java#X402.X402_VERSION	real	consistent	0.950	0.000	0.050	0.920	0.000
http-servers#http-servers-sava/src/main/java/software/sava/http_servers/sava/x402/X402.java#X402.X402_VERSION	swapped	not_checkable	0.010	0.180	0.810	0.720	1.000
http-servers#http-servers-sava/src/main/java/software/sava/http_servers/sava/x402/X402Gate.java#X402Gate.<init>(QueryHandler, PaymentRequirements, Resource, SvmExactSettler)	real	consistent	0.470	0.230	0.300	0.210	0.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Abuser.java#Abuser.ABORT_PACE_MIN_MILLIS	real	not_checkable	0.300	0.010	0.690	0.530	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Abuser.java#Abuser.ABORT_PACE_MIN_MILLIS	swapped	not_checkable	0.000	0.000	1.000	0.990	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Abuser.java#Abuser.CYCLE	real	contradicted	0.030	0.830	0.140	0.750	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Abuser.java#Abuser.CYCLE	swapped	not_checkable	0.000	0.010	0.990	0.980	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Abuser.java#Abuser.abortMidBody()	real	consistent	0.860	0.100	0.040	0.800	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Abuser.java#Abuser.abortMidBody()	swapped	not_checkable	0.340	0.260	0.400	0.100	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Abuser.java#Abuser.absoluteForm()	real	consistent	0.630	0.050	0.320	0.440	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Abuser.java#Abuser.absoluteForm()	swapped	not_checkable	0.030	0.270	0.700	0.550	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Abuser.java#Abuser.afterwards(Socket, InputStream, Backend.Closes, Case, String)	real	consistent	0.370	0.280	0.350	0.060	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Abuser.java#Abuser.afterwards(Socket, InputStream, Backend.Closes, Case, String)	swapped	not_checkable	0.000	0.110	0.890	0.830	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Abuser.java#Abuser.answered(Case, Backend.Expectation, RawHttp.Response)	real	consistent	0.910	0.040	0.050	0.860	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Abuser.java#Abuser.answered(Case, Backend.Expectation, RawHttp.Response)	swapped	not_checkable	0.080	0.160	0.760	0.640	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Abuser.java#Abuser.attempted(Stats, Case)	real	not_checkable	0.130	0.040	0.830	0.760	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Abuser.java#Abuser.attempted(Stats, Case)	swapped	not_checkable	0.310	0.140	0.550	0.330	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Abuser.java#Abuser.expectContinueOverCap()	real	consistent	0.950	0.040	0.010	0.920	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Abuser.java#Abuser.expectContinueOverCap()	swapped	not_checkable	0.060	0.110	0.830	0.760	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Abuser.java#Abuser.expectKept(Socket, InputStream, Case, String)	real	consistent	0.940	0.040	0.020	0.910	0.500
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Abuser.java#Abuser.expectKept(Socket, InputStream, Case, String)	swapped	consistent	0.600	0.120	0.280	0.400	0.500
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Abuser.java#Abuser.expectUnsupported()	real	consistent	0.960	0.020	0.020	0.940	0.500
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Abuser.java#Abuser.expectUnsupported()	swapped	contradicted	0.350	0.570	0.080	0.340	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Abuser.java#Abuser.http10()	real	consistent	0.600	0.170	0.230	0.400	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Abuser.java#Abuser.http10()	swapped	contradicted	0.030	0.550	0.420	0.330	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Abuser.java#Abuser.malformedLine()	real	consistent	0.730	0.170	0.100	0.590	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Abuser.java#Abuser.malformedLine()	swapped	not_checkable	0.030	0.290	0.680	0.510	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Abuser.java#Abuser.noHost()	real	not_checkable	0.300	0.110	0.590	0.380	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Abuser.java#Abuser.noHost()	swapped	not_checkable	0.420	0.030	0.550	0.320	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Abuser.java#Abuser.oversized()	real	consistent	0.790	0.090	0.120	0.680	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Abuser.java#Abuser.oversized()	swapped	not_checkable	0.020	0.130	0.850	0.780	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Abuser.java#Abuser.unexercised(Stats)	real	consistent	0.730	0.070	0.200	0.580	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Abuser.java#Abuser.unexercised(Stats)	swapped	not_checkable	0.010	0.270	0.720	0.580	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Backend.java#Backend.absoluteForm()	real	not_checkable	0.090	0.020	0.890	0.830	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Backend.java#Backend.absoluteForm()	swapped	not_checkable	0.010	0.000	0.990	0.990	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Backend.java#Backend.bodyCap()	real	not_checkable	0.180	0.010	0.810	0.730	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Backend.java#Backend.bodyCap()	swapped	not_checkable	0.010	0.000	0.990	0.990	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Backend.java#Backend.http10()	real	not_checkable	0.140	0.030	0.830	0.740	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Backend.java#Backend.http10()	swapped	not_checkable	0.050	0.020	0.930	0.900	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Backend.java#Backend.idleAfterAccept()	real	not_checkable	0.180	0.020	0.800	0.700	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Backend.java#Backend.idleAfterAccept()	swapped	not_checkable	0.000	0.000	1.000	0.990	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Backend.java#Backend.idleTimeoutMillis()	real	not_checkable	0.280	0.050	0.670	0.520	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Backend.java#Backend.idleTimeoutMillis()	swapped	not_checkable	0.030	0.000	0.970	0.960	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Backend.java#Backend.malformed()	real	not_checkable	0.020	0.030	0.950	0.930	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Backend.java#Backend.malformed()	swapped	not_checkable	0.070	0.060	0.870	0.820	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Backend.java#Backend.noHost()	real	not_checkable	0.150	0.010	0.840	0.760	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Backend.java#Backend.noHost()	swapped	not_checkable	0.020	0.030	0.950	0.930	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Backend.java#Backend.of(String)	real	consistent	0.990	0.010	0.000	0.980	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Backend.java#Backend.of(String)	swapped	not_checkable	0.040	0.050	0.910	0.870	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Backend.java#Backend.pipelineCloseStrict()	real	not_checkable	0.260	0.100	0.640	0.460	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Backend.java#Backend.pipelineCloseStrict()	swapped	contradicted	0.010	0.870	0.120	0.800	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Backend.java#Backend.strictExpect()	real	not_checkable	0.210	0.080	0.710	0.570	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Backend.java#Backend.strictExpect()	swapped	consistent	0.680	0.030	0.290	0.530	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Backend.java#Backend.unsupportedExpect()	real	not_checkable	0.070	0.030	0.900	0.860	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Backend.java#Backend.unsupportedExpect()	swapped	not_checkable	0.040	0.080	0.880	0.820	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/ClientWorker.java#ClientWorker.echo()	real	consistent	0.850	0.040	0.110	0.770	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/JfrReport.java#JfrReport$Pass.nmtTypes	real	consistent	0.430	0.160	0.410	0.150	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/JfrReport.java#JfrReport$Pass.nmtTypes	swapped	not_checkable	0.010	0.010	0.980	0.970	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/JfrReport.java#JfrReport.DOMINANT_SHARE	real	consistent	0.760	0.030	0.210	0.640	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/JfrReport.java#JfrReport.DOMINANT_SHARE	swapped	not_checkable	0.000	0.090	0.910	0.850	1.000
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/JfrReport.java#JfrReport.className(RecordedClass)	real	consistent	0.970	0.030	0.000	0.950	1.000
