row_id	label	notes	module	row	mutator_description	paragraph_head	member_head
glam-sdk-java/services#services#SingleAssetFulfillmentServiceEntrypoint.createService#VoidMethodCallMutator#NO_COVERAGE#135			glam-sdk-java/services	systems.glam.services.fulfillment.SingleAssetFulfillmentServiceEntrypoint,createService,VoidMethodCallMutator,NO_COVERAGE # seamless bootstrap # line 135	removed a call to a void method	- `# seamless bootstrap` — the fulfillment entrypoint's config-driven wiring with no injection seam; escape is a seam refactor.	// SingleAssetFulfillmentServiceEntrypoint lines 56-185   private static SingleAssetFulfillmentServiceEntrypoint createService(final ExecutorService taskExecutor,                                                                        final HttpClient httpClient,                                                                        final HttpClient wsHttpClient) throws InterruptedException {     f …
glam-sdk-java/services#services#SingleAssetFulfillmentServiceEntrypoint.createService#VoidMethodCallMutator#NO_COVERAGE#182			glam-sdk-java/services	systems.glam.services.fulfillment.SingleAssetFulfillmentServiceEntrypoint,createService,VoidMethodCallMutator,NO_COVERAGE # seamless bootstrap # line 182	removed a call to a void method	- `# seamless bootstrap` — the fulfillment entrypoint's config-driven wiring with no injection seam; escape is a seam refactor.	// SingleAssetFulfillmentServiceEntrypoint lines 56-185   private static SingleAssetFulfillmentServiceEntrypoint createService(final ExecutorService taskExecutor,                                                                        final HttpClient httpClient,                                                                        final HttpClient wsHttpClient) throws InterruptedException {     f …
glam-sdk-java/services#services#SingleAssetFulfillmentServiceEntrypoint.lambda$createService$0#NullReturnValsMutator#NO_COVERAGE#102			glam-sdk-java/services	systems.glam.services.fulfillment.SingleAssetFulfillmentServiceEntrypoint,lambda$createService$0,NullReturnValsMutator,NO_COVERAGE # seamless bootstrap # line 102	replaced a return value with null	- `# seamless bootstrap` — the fulfillment entrypoint's config-driven wiring with no injection seam; escape is a seam refactor.	// SingleAssetFulfillmentServiceEntrypoint lines 56-185   private static SingleAssetFulfillmentServiceEntrypoint createService(final ExecutorService taskExecutor,                                                                        final HttpClient httpClient,                                                                        final HttpClient wsHttpClient) throws InterruptedException {     f …
glam-sdk-java/services#services#SingleAssetFulfillmentServiceEntrypoint.lambda$createService$1#NullReturnValsMutator#NO_COVERAGE#127			glam-sdk-java/services	systems.glam.services.fulfillment.SingleAssetFulfillmentServiceEntrypoint,lambda$createService$1,NullReturnValsMutator,NO_COVERAGE # seamless bootstrap # line 127	replaced a return value with null	- `# seamless bootstrap` — the fulfillment entrypoint's config-driven wiring with no injection seam; escape is a seam refactor.	// SingleAssetFulfillmentServiceEntrypoint lines 56-185   private static SingleAssetFulfillmentServiceEntrypoint createService(final ExecutorService taskExecutor,                                                                        final HttpClient httpClient,                                                                        final HttpClient wsHttpClient) throws InterruptedException {     f …
incident-client/incident-pagerduty#adapter#PagerDutyServiceVal.changeEvent#ConditionalsBoundaryMutator#SURVIVED#254			incident-client/incident-pagerduty	software.sava.incident.pagerduty.event.service.PagerDutyServiceVal,changeEvent,ConditionalsBoundaryMutator,SURVIVED # async-routing # line 254	changed a conditional boundary: < became <= or <= became <, > became >= or >= became >	- `# async-routing` (adapter: `PagerDutyServiceVal.resolveEvent`, `triggerEvent`, `changeEvent`, ×2 each) — the `retryDelay > 0` guard routes between `exceptionallyComposeAsync(delayedExecutor(retryDelay, timeUnit))` and `exceptionallyCompose`. At delay 0 both produce identical results and differ only in which thread runs the continuation; a positive delay is distinguishable only by wall-clock timing, which the determinism rules prohibit asserting. Both directions are exercised (the retry tests use a positive step delay, the logging tests use 0), so the arms are covered — only the *choice betw …	// PagerDutyServiceVal lines 201-207   @Override   public CompletableFuture<PagerDutyEventResponse> changeEvent(final PagerDutyChangeEventPayload payload,                                                                final long stepDelay,                                                                final long maxDelay,                                                                final TimeUni …
ravina/ravina-core#calls#UncheckedBalancedCall.get#RemoveConditionalMutator_EQUAL_IF#SURVIVED#53			ravina/ravina-core	software.sava.services.core.remote.call.UncheckedBalancedCall,get,RemoveConditionalMutator_EQUAL_IF,SURVIVED # timer-unobservable # line 53	removed an equality conditional (== or !=) by replacing it with true, so the if-branch always runs	**Unobservable timers** `# timer-unobservable` — call-time measurement mutants on paths where `measureCallTime` is false: the measured value is never read.	// UncheckedBalancedCall lines 45-100   @Override   public final R get() {     try {       var callFuture = call();       if (callFuture == null) {         return null;       }       final boolean measureCallTime = callContext.measureCallTime();       long start = measureCallTime ? clock.nanoTime() : 0;       final int numItems = loadBalancer.size();       for (long errorCount = 0, retry = 0; ; )  …
ravina/ravina-solana#alt#ScoredTable.scoreTables#RemoveConditionalMutator_ORDER_ELSE#SURVIVED#58			ravina/ravina-solana	software.sava.services.solana.alt.ScoredTable,scoreTables,RemoveConditionalMutator_ORDER_ELSE,SURVIVED # set-cover-invariant # line 58	removed an ordering conditional (<, <=, >, >=) by replacing it with false, so the if-branch never runs	**Selection-invariant set-cover bookkeeping** `# set-cover-invariant` (`alt`) — `ScoredTable` / `ScoredTableMeta` `usedMask` mutants (`<<=` → `>>=`, the `(mask & usedMask)` guard, `usedMask |=` → `&=`) and the `selectedTables` emptiness guard. The mask only skips re-scoring already-selected tables, whose accounts have already been removed from `remainingAccounts`; such a table scores 0 and can never be re-selected, so the selection output is unchanged either way.	// ScoredTable lines 25-63   public static void scoreTables(final int maxTables,                                  final Set<PublicKey> remainingAccounts,                                  final AddressLookupTable[] lookupTables,                                  final Map<PublicKey, AddressLookupTable> selectedTables) {     if (!selectedTables.isEmpty()) {       for (final var table : selectedTables …
ravina/ravina-solana#alt#ScoredTableMeta.scoreTables#RemoveConditionalMutator_ORDER_ELSE#SURVIVED#49			ravina/ravina-solana	software.sava.services.solana.alt.ScoredTableMeta,scoreTables,RemoveConditionalMutator_ORDER_ELSE,SURVIVED # set-cover-invariant # line 49	removed an ordering conditional (<, <=, >, >=) by replacing it with false, so the if-branch never runs	**Selection-invariant set-cover bookkeeping** `# set-cover-invariant` (`alt`) — `ScoredTable` / `ScoredTableMeta` `usedMask` mutants (`<<=` → `>>=`, the `(mask & usedMask)` guard, `usedMask |=` → `&=`) and the `selectedTables` emptiness guard. The mask only skips re-scoring already-selected tables, whose accounts have already been removed from `remainingAccounts`; such a table scores 0 and can never be re-selected, so the selection output is unchanged either way.	// ScoredTableMeta lines 20-55   public static List<LookupTableAccountMeta> scoreTables(final int maxTables,                                                          final Set<PublicKey> remainingAccounts,                                                          final LookupTableAccountMeta[] lookupTables) {     final var scoredTables = new ArrayList<LookupTableAccountMeta>(maxTables);     int use …
ravina/ravina-solana#catchAll#PriorityFeeRequest.serializeParams#RemoveConditionalMutator_EQUAL_ELSE#SURVIVED#23			ravina/ravina-solana	software.sava.services.solana.helius.client.http.request.PriorityFeeRequest,serializeParams,RemoveConditionalMutator_EQUAL_ELSE,SURVIVED # single-join-identity # line 23	removed an equality conditional (== or !=) by replacing it with false, so the if-branch never runs	**Single-element join is the identity** `# single-join-identity` (`catchAll`) — `PriorityFeeRequest` lines 13 and 69 `_ELSE`, i.e. forcing the `String.join` branch: joining a one-element list returns that element, exactly what the `getFirst()` branch returns. The `_IF` direction is killed.	// PriorityFeeRequest lines 37-39   public static String serializeParams(final List<String> accountKeys) {     return serializeParams(accountKeys, DEFAULT_LOOK_BACK_SLOTS);   }  // PriorityFeeRequest lines 41-56   public static String serializeParams(final String transaction,                                        final String transactionEncoding,                                        final int l …
ravina/ravina-solana#catchAll#PriorityFeeRequest.serializeRecommendedParams#RemoveConditionalMutator_EQUAL_ELSE#SURVIVED#80			ravina/ravina-solana	software.sava.services.solana.helius.client.http.request.PriorityFeeRequest,serializeRecommendedParams,RemoveConditionalMutator_EQUAL_ELSE,SURVIVED # single-join-identity # line 80	removed an equality conditional (== or !=) by replacing it with false, so the if-branch never runs	**Single-element join is the identity** `# single-join-identity` (`catchAll`) — `PriorityFeeRequest` lines 13 and 69 `_ELSE`, i.e. forcing the `String.join` branch: joining a one-element list returns that element, exactly what the `getFirst()` branch returns. The `_IF` direction is killed.	// PriorityFeeRequest lines 92-102   public static String serializeRecommendedParams(final String transaction, final Encoding transactionEncoding) {     return String.format("""             "transaction":"%s",             "options":{               "transactionEncoding":"%s",               "recommended":true             }""",         transaction,         transactionEncoding     );   }  // PriorityF …
ravina/ravina-solana#epoch#SlotPerformanceStats.calculateStats#RemoveConditionalMutator_EQUAL_ELSE#SURVIVED#81			ravina/ravina-solana	software.sava.services.solana.epoch.SlotPerformanceStats,calculateStats,RemoveConditionalMutator_EQUAL_ELSE,SURVIVED # duplicated-computation # line 81	removed an equality conditional (== or !=) by replacing it with false, so the if-branch never runs	**Duplicated computation** `# duplicated-computation` (`epoch`) — `SlotPerformanceStats.calculateStats` routing a single sample through the general path yields the identical record (middle = 0, min = max = median, stddev 0).	// SlotPerformanceStats lines 40-42   public static SlotPerformanceStats calculateStats(final List<PerfSample> samples) {     return calculateStats(samples, DEFAULT_MIN_MILLIS_PER_SLOT, DEFAULT_MAX_MILLIS_PER_SLOT);   }  // SlotPerformanceStats lines 46-48   public static SlotPerformanceStats calculateStats(final List<PerfSample> samples, final int maxMillis) {     return calculateStats(samples, D …
sava/sava-rpc#ws#SolanaJsonRpcWebsocket.onText#RemoveConditionalMutator_EQUAL_ELSE#SURVIVED#2725			sava/sava-rpc	software.sava.rpc.json.http.ws.SolanaJsonRpcWebsocket,onText,RemoveConditionalMutator_EQUAL_ELSE,SURVIVED # equivalent buffer copy # line 2725	removed an equality conditional (== or !=) by replacing it with false, so the if-branch never runs	- **Capacity and buffer routing.** `# equal-capacity copy` makes exact capacity enter the growth branch: the clamp grows a sub-maximum buffer and performs a same-sized copy only at `maxMessageLength`, without changing bytes or parsing. The two `# capacity math` siblings alter only the growth hint before `Math.clamp`, which still allocates at least the required capacity. `# zero-offset route convergence` sends an unfragmented message through the assembled-buffer route; it parses the same characters. `# equivalent buffer copy` chooses `arraycopy`, `CharBuffer.get`, or a wrapped buffer for the sa …	// SolanaJsonRpcWebsocket lines 2687-2762   @Override   public CompletionStage<?> onText(final WebSocket webSocket, final CharSequence message, final boolean last) {     // One resolution answers every guard: no current connection (closed, or the gap between     // connect() and adoption), or a socket that is not the current one, resolves to null — and     // a stale callback that already resolved …
sava/sava-rpc#ws#SolanaJsonRpcWebsocket.onText#RemoveConditionalMutator_EQUAL_ELSE#SURVIVED#965			sava/sava-rpc	software.sava.rpc.json.http.ws.SolanaJsonRpcWebsocket,onText,RemoveConditionalMutator_EQUAL_ELSE,SURVIVED # equivalent buffer copy # line 965	removed an equality conditional (== or !=) by replacing it with false, so the if-branch never runs	- **Capacity and buffer routing.** `# equal-capacity copy` makes exact capacity enter the growth branch: the clamp grows a sub-maximum buffer and performs a same-sized copy only at `maxMessageLength`, without changing bytes or parsing. The two `# capacity math` siblings alter only the growth hint before `Math.clamp`, which still allocates at least the required capacity. `# zero-offset route convergence` sends an unfragmented message through the assembled-buffer route; it parses the same characters. `# equivalent buffer copy` chooses `arraycopy`, `CharBuffer.get`, or a wrapped buffer for the sa …	// SolanaJsonRpcWebsocket lines 2687-2762   @Override   public CompletionStage<?> onText(final WebSocket webSocket, final CharSequence message, final boolean last) {     // One resolution answers every guard: no current connection (closed, or the gap between     // connect() and adoption), or a socket that is not the current one, resolves to null — and     // a stale callback that already resolved …
sava/sava-rpc#ws#SolanaJsonRpcWebsocket.onText#RemoveConditionalMutator_EQUAL_ELSE#SURVIVED#973			sava/sava-rpc	software.sava.rpc.json.http.ws.SolanaJsonRpcWebsocket,onText,RemoveConditionalMutator_EQUAL_ELSE,SURVIVED # equivalent buffer copy # line 973	removed an equality conditional (== or !=) by replacing it with false, so the if-branch never runs	- **Capacity and buffer routing.** `# equal-capacity copy` makes exact capacity enter the growth branch: the clamp grows a sub-maximum buffer and performs a same-sized copy only at `maxMessageLength`, without changing bytes or parsing. The two `# capacity math` siblings alter only the growth hint before `Math.clamp`, which still allocates at least the required capacity. `# zero-offset route convergence` sends an unfragmented message through the assembled-buffer route; it parses the same characters. `# equivalent buffer copy` chooses `arraycopy`, `CharBuffer.get`, or a wrapped buffer for the sa …	// SolanaJsonRpcWebsocket lines 2687-2762   @Override   public CompletionStage<?> onText(final WebSocket webSocket, final CharSequence message, final boolean last) {     // One resolution answers every guard: no current connection (closed, or the gap between     // connect() and adoption), or a socket that is not the current one, resolves to null — and     // a stale callback that already resolved …
sava/sava-rpc#ws#SolanaJsonRpcWebsocket.onText#RemoveConditionalMutator_EQUAL_ELSE#SURVIVED#986			sava/sava-rpc	software.sava.rpc.json.http.ws.SolanaJsonRpcWebsocket,onText,RemoveConditionalMutator_EQUAL_ELSE,SURVIVED # equivalent buffer copy # line 986	removed an equality conditional (== or !=) by replacing it with false, so the if-branch never runs	- **Capacity and buffer routing.** `# equal-capacity copy` makes exact capacity enter the growth branch: the clamp grows a sub-maximum buffer and performs a same-sized copy only at `maxMessageLength`, without changing bytes or parsing. The two `# capacity math` siblings alter only the growth hint before `Math.clamp`, which still allocates at least the required capacity. `# zero-offset route convergence` sends an unfragmented message through the assembled-buffer route; it parses the same characters. `# equivalent buffer copy` chooses `arraycopy`, `CharBuffer.get`, or a wrapped buffer for the sa …	// SolanaJsonRpcWebsocket lines 2687-2762   @Override   public CompletionStage<?> onText(final WebSocket webSocket, final CharSequence message, final boolean last) {     // One resolution answers every guard: no current connection (closed, or the gap between     // connect() and adoption), or a socket that is not the current one, resolves to null — and     // a stale callback that already resolved …
sava/sava-rpc#ws#SolanaJsonRpcWebsocket.onWholeMessage#RemoveConditionalMutator_EQUAL_IF#SURVIVED#2587			sava/sava-rpc	software.sava.rpc.json.http.ws.SolanaJsonRpcWebsocket,onWholeMessage,RemoveConditionalMutator_EQUAL_IF,SURVIVED # unique-member rescan # line 2587	removed an equality conditional (== or !=) by replacing it with true, so the if-branch always runs	- **Parser rescans.** `# unique-member rescan` resets and finds the same unique JSON-RPC `params`, `value`, or `subscription` member; duplicate member-name resolution is outside the protocol contract. `# fast-forward funnel` drops an initial iterator fast-forward, after which the existing mark/reset fallback reaches the same member and dispatches the same notification.	// SolanaJsonRpcWebsocket lines 2134-2674   @SuppressWarnings("unused")   private void onWholeMessage(final char[] msg,                               final int offset,                               final int tail,                               final JsonIterator ji,                               final Connection conn) {     // System.out.format("<- %s%n", new String(msg, offset, tail - offset));   …
sava/sava-rpc#ws#SolanaJsonRpcWebsocket.onWholeMessage#RemoveConditionalMutator_EQUAL_IF#SURVIVED#905			sava/sava-rpc	software.sava.rpc.json.http.ws.SolanaJsonRpcWebsocket,onWholeMessage,RemoveConditionalMutator_EQUAL_IF,SURVIVED # unique-member rescan # line 905	removed an equality conditional (== or !=) by replacing it with true, so the if-branch always runs	- **Parser rescans.** `# unique-member rescan` resets and finds the same unique JSON-RPC `params`, `value`, or `subscription` member; duplicate member-name resolution is outside the protocol contract. `# fast-forward funnel` drops an initial iterator fast-forward, after which the existing mark/reset fallback reaches the same member and dispatches the same notification.	// SolanaJsonRpcWebsocket lines 2134-2674   @SuppressWarnings("unused")   private void onWholeMessage(final char[] msg,                               final int offset,                               final int tail,                               final JsonIterator ji,                               final Connection conn) {     // System.out.format("<- %s%n", new String(msg, offset, tail - offset));   …
sava/sava-rpc#ws#SolanaJsonRpcWebsocket.publish#RemoveConditionalMutator_EQUAL_IF#SURVIVED#765			sava/sava-rpc	software.sava.rpc.json.http.ws.SolanaJsonRpcWebsocket,publish,RemoveConditionalMutator_EQUAL_IF,SURVIVED # unique-member rescan # line 765	removed an equality conditional (== or !=) by replacing it with true, so the if-branch always runs	- **Parser rescans.** `# unique-member rescan` resets and finds the same unique JSON-RPC `params`, `value`, or `subscription` member; duplicate member-name resolution is outside the protocol contract. `# fast-forward funnel` drops an initial iterator fast-forward, after which the existing mark/reset fallback reaches the same member and dispatches the same notification.	// SolanaJsonRpcWebsocket lines 2037-2065   private <T> void publish(final Connection conn,                            final Channel channel,                            final JsonIterator ji,                            final int paramsMark,                            final T item) {     ji.skipRestOfObject();     if (ji.skipUntil("subscription") == null) {       ji.reset(paramsMark).skipUntil("sub …
sava/sava-rpc#ws#SolanaJsonRpcWebsocket.publish#RemoveConditionalMutator_EQUAL_IF#SURVIVED#784			sava/sava-rpc	software.sava.rpc.json.http.ws.SolanaJsonRpcWebsocket,publish,RemoveConditionalMutator_EQUAL_IF,SURVIVED # unique-member rescan # line 784	removed an equality conditional (== or !=) by replacing it with true, so the if-branch always runs	- **Parser rescans.** `# unique-member rescan` resets and finds the same unique JSON-RPC `params`, `value`, or `subscription` member; duplicate member-name resolution is outside the protocol contract. `# fast-forward funnel` drops an initial iterator fast-forward, after which the existing mark/reset fallback reaches the same member and dispatches the same notification.	// SolanaJsonRpcWebsocket lines 2037-2065   private <T> void publish(final Connection conn,                            final Channel channel,                            final JsonIterator ji,                            final int paramsMark,                            final T item) {     ji.skipRestOfObject();     if (ji.skipUntil("subscription") == null) {       ji.reset(paramsMark).skipUntil("sub …
sava/sava-rpc#ws#SolanaJsonRpcWebsocket.publishGeneric#RemoveConditionalMutator_EQUAL_IF#SURVIVED#803			sava/sava-rpc	software.sava.rpc.json.http.ws.SolanaJsonRpcWebsocket,publishGeneric,RemoveConditionalMutator_EQUAL_IF,SURVIVED # unique-member rescan # line 803	removed an equality conditional (== or !=) by replacing it with true, so the if-branch always runs	- **Parser rescans.** `# unique-member rescan` resets and finds the same unique JSON-RPC `params`, `value`, or `subscription` member; duplicate member-name resolution is outside the protocol contract. `# fast-forward funnel` drops an initial iterator fast-forward, after which the existing mark/reset fallback reaches the same member and dispatches the same notification.	// SolanaJsonRpcWebsocket lines 2099-2132   private void publishGeneric(final Connection conn,                               final String notificationMethod,                               final String unSubscribeMethod,                               final JsonIterator ji,                               final int paramsMark) {     final int resultMark = ji.mark();     ji.skip();     if (ji.skipUntil …
