row_id	arm	choice	p_applies	p_does_not_apply	p_cannot	confidence	construct_absent	word_baseline
glam-sdk-java/sdk#sdk#VaultTableBuilderImpl.addGlamVaultTokens#RemoveConditionalMutator_EQUAL_IF#SURVIVED#217	real	cannot_tell	0.020	0.130	0.850	0.770	0.430	false
glam-sdk-java/sdk#sdk#VaultTableBuilderImpl.addGlamVaultTokens#RemoveConditionalMutator_EQUAL_IF#SURVIVED#217	swapped	cannot_tell	0.010	0.190	0.800	0.700	0.540	false
glam-sdk-java/sdk#sdk#VaultTableBuilderImpl.batchTableTasks#MathMutator#SURVIVED#117	real	cannot_tell	0.010	0.120	0.870	0.810	0.520	false
glam-sdk-java/sdk#sdk#VaultTableBuilderImpl.batchTableTasks#MathMutator#SURVIVED#117	swapped	cannot_tell	0.020	0.140	0.840	0.760	0.590	false
glam-sdk-java/sdk#sdk#VaultTableBuilderImpl.batchTableTasks#RemoveConditionalMutator_EQUAL_ELSE#SURVIVED#109	real	cannot_tell	0.020	0.120	0.860	0.790	0.510	false
glam-sdk-java/sdk#sdk#VaultTableBuilderImpl.batchTableTasks#RemoveConditionalMutator_EQUAL_ELSE#SURVIVED#109	swapped	cannot_tell	0.000	0.120	0.880	0.810	0.470	false
glam-sdk-java/sdk#sdk#VaultTableBuilderImpl.lambda$addKaminoVaultAccountsSecondPhase$0#RemoveConditionalMutator_EQUAL_IF#SURVIVED#389	real	cannot_tell	0.030	0.140	0.830	0.750	0.420	false
glam-sdk-java/sdk#sdk#VaultTableBuilderImpl.lambda$addKaminoVaultAccountsSecondPhase$0#RemoveConditionalMutator_EQUAL_IF#SURVIVED#389	swapped	cannot_tell	0.010	0.130	0.860	0.790	0.510	false
glam-sdk-java/sdk#sdk#VaultTableBuilderImpl.lambda$addKaminoVaultAccountsSecondPhase$0#RemoveConditionalMutator_EQUAL_IF#SURVIVED#391	real	cannot_tell	0.030	0.160	0.810	0.720	0.430	false
glam-sdk-java/sdk#sdk#VaultTableBuilderImpl.lambda$addKaminoVaultAccountsSecondPhase$0#RemoveConditionalMutator_EQUAL_IF#SURVIVED#391	swapped	cannot_tell	0.010	0.170	0.820	0.730	0.550	false
glam-sdk-java/sdk#sdk#VaultTableBuilderImpl.lambda$addKaminoVaultAccountsSecondPhase$0#RemoveConditionalMutator_EQUAL_IF#SURVIVED#391	real	cannot_tell	0.030	0.160	0.810	0.720	0.430	false
glam-sdk-java/sdk#sdk#VaultTableBuilderImpl.lambda$addKaminoVaultAccountsSecondPhase$0#RemoveConditionalMutator_EQUAL_IF#SURVIVED#391	swapped	cannot_tell	0.010	0.170	0.820	0.730	0.550	false
glam-sdk-java/sdk#sdk#VaultTableBuilderImpl.lambda$mapTable$0#RemoveConditionalMutator_EQUAL_IF#SURVIVED#58	real	cannot_tell	0.040	0.130	0.830	0.750	0.390	false
glam-sdk-java/sdk#sdk#VaultTableBuilderImpl.lambda$mapTable$0#RemoveConditionalMutator_EQUAL_IF#SURVIVED#58	swapped	cannot_tell	0.030	0.150	0.820	0.730	0.440	false
glam-sdk-java/sdk#sdk#VaultTableBuilderImpl.mapTable#RemoveConditionalMutator_EQUAL_ELSE#SURVIVED#54	real	cannot_tell	0.040	0.110	0.850	0.780	0.430	false
glam-sdk-java/sdk#sdk#VaultTableBuilderImpl.mapTable#RemoveConditionalMutator_EQUAL_ELSE#SURVIVED#54	swapped	cannot_tell	0.020	0.140	0.840	0.760	0.400	false
glam-sdk-java/sdk#sdk#VaultTableBuilderImpl.mapTable#RemoveConditionalMutator_EQUAL_IF#SURVIVED#54	real	cannot_tell	0.020	0.090	0.890	0.840	0.460	false
glam-sdk-java/sdk#sdk#VaultTableBuilderImpl.mapTable#RemoveConditionalMutator_EQUAL_IF#SURVIVED#54	swapped	cannot_tell	0.010	0.130	0.860	0.800	0.390	false
glam-sdk-java/services#services#AccountFetcherImpl.createBatch#IncrementsMutator#SURVIVED#340	real	does_not_apply	0.010	0.840	0.150	0.770	0.870	false
glam-sdk-java/services#services#AccountFetcherImpl.createBatch#IncrementsMutator#SURVIVED#340	swapped	does_not_apply	0.010	0.730	0.260	0.600	0.840	false
glam-sdk-java/services#services#AccountFetcherImpl.createBatch#RemoveConditionalMutator_EQUAL_ELSE#SURVIVED#343	real	does_not_apply	0.010	0.720	0.270	0.580	0.860	false
glam-sdk-java/services#services#AccountFetcherImpl.createBatch#RemoveConditionalMutator_EQUAL_ELSE#SURVIVED#343	swapped	does_not_apply	0.010	0.820	0.170	0.740	0.860	false
glam-sdk-java/services#services#AccountFetcherImpl.delay#ConditionalsBoundaryMutator#SURVIVED#376	real	does_not_apply	0.010	0.700	0.290	0.540	0.780	false
glam-sdk-java/services#services#AccountFetcherImpl.delay#ConditionalsBoundaryMutator#SURVIVED#376	swapped	does_not_apply	0.000	0.860	0.140	0.790	0.870	false
glam-sdk-java/services#services#AccountFetcherImpl.lockedQueue#RemoveConditionalMutator_EQUAL_IF#SURVIVED#129	real	does_not_apply	0.020	0.860	0.120	0.790	0.860	false
glam-sdk-java/services#services#AccountFetcherImpl.lockedQueue#RemoveConditionalMutator_EQUAL_IF#SURVIVED#129	swapped	does_not_apply	0.010	0.930	0.060	0.910	0.850	false
glam-sdk-java/services#services#AccountFetcherImpl.queueBatchable#ConditionalsBoundaryMutator#SURVIVED#179	real	does_not_apply	0.010	0.890	0.100	0.840	0.840	false
glam-sdk-java/services#services#AccountFetcherImpl.queueBatchable#ConditionalsBoundaryMutator#SURVIVED#179	swapped	does_not_apply	0.010	0.890	0.100	0.840	0.850	false
glam-sdk-java/services#services#AccountFetcherImpl.run#RemoveConditionalMutator_EQUAL_IF#SURVIVED#446	real	does_not_apply	0.010	0.770	0.220	0.660	0.790	false
glam-sdk-java/services#services#AccountFetcherImpl.run#RemoveConditionalMutator_EQUAL_IF#SURVIVED#446	swapped	does_not_apply	0.000	0.880	0.120	0.820	0.860	false
glam-sdk-java/services#services#BatchSqlExecutorImpl.awaitBatchComplete#RemoveConditionalMutator_EQUAL_IF#SURVIVED#204	real	does_not_apply	0.020	0.840	0.140	0.760	0.870	false
glam-sdk-java/services#services#BatchSqlExecutorImpl.awaitBatchComplete#RemoveConditionalMutator_EQUAL_IF#SURVIVED#204	swapped	does_not_apply	0.010	0.930	0.060	0.900	0.890	false
glam-sdk-java/services#services#BatchSqlExecutorImpl.queue#RemoveConditionalMutator_EQUAL_ELSE#SURVIVED#266	real	does_not_apply	0.110	0.710	0.180	0.570	0.860	false
glam-sdk-java/services#services#BatchSqlExecutorImpl.queue#RemoveConditionalMutator_EQUAL_ELSE#SURVIVED#266	swapped	does_not_apply	0.010	0.910	0.080	0.870	0.880	false
glam-sdk-java/services#services#BatchSqlExecutorImpl.queue#RemoveConditionalMutator_ORDER_IF#SURVIVED#266	real	does_not_apply	0.100	0.760	0.140	0.640	0.860	false
glam-sdk-java/services#services#BatchSqlExecutorImpl.queue#RemoveConditionalMutator_ORDER_IF#SURVIVED#266	swapped	does_not_apply	0.010	0.930	0.060	0.890	0.830	false
glam-sdk-java/services#services#BatchSqlExecutorImpl.run#ConditionalsBoundaryMutator#SURVIVED#115	real	does_not_apply	0.010	0.780	0.210	0.680	0.560	false
glam-sdk-java/services#services#BatchSqlExecutorImpl.run#ConditionalsBoundaryMutator#SURVIVED#115	swapped	does_not_apply	0.010	0.820	0.170	0.730	0.630	false
glam-sdk-java/services#services#BatchSqlExecutorImpl.run#ConditionalsBoundaryMutator#SURVIVED#130	real	does_not_apply	0.010	0.840	0.150	0.770	0.620	false
glam-sdk-java/services#services#BatchSqlExecutorImpl.run#ConditionalsBoundaryMutator#SURVIVED#130	swapped	does_not_apply	0.010	0.850	0.140	0.780	0.640	false
glam-sdk-java/services#services#BatchSqlExecutorImpl.run#RemoveConditionalMutator_ORDER_IF#SURVIVED#115	real	does_not_apply	0.010	0.870	0.120	0.820	0.540	false
glam-sdk-java/services#services#BatchSqlExecutorImpl.run#RemoveConditionalMutator_ORDER_IF#SURVIVED#115	swapped	does_not_apply	0.010	0.870	0.120	0.800	0.590	false
glam-sdk-java/services#services#BatchSqlExecutorImpl.run#VoidMethodCallMutator#SURVIVED#116	real	does_not_apply	0.020	0.790	0.190	0.690	0.580	false
glam-sdk-java/services#services#BatchSqlExecutorImpl.run#VoidMethodCallMutator#SURVIVED#116	swapped	does_not_apply	0.000	0.910	0.090	0.870	0.650	false
glam-sdk-java/services#services#GlobalConfigCacheImpl.run#ConditionalsBoundaryMutator#SURVIVED#259	real	does_not_apply	0.010	0.960	0.030	0.940	0.560	true
glam-sdk-java/services#services#GlobalConfigCacheImpl.run#ConditionalsBoundaryMutator#SURVIVED#259	swapped	does_not_apply	0.150	0.820	0.030	0.730	0.530	true
glam-sdk-java/services#services#GlobalConfigCacheImpl.run#RemoveConditionalMutator_EQUAL_ELSE#SURVIVED#257	real	does_not_apply	0.040	0.910	0.050	0.870	0.530	true
glam-sdk-java/services#services#GlobalConfigCacheImpl.run#RemoveConditionalMutator_EQUAL_ELSE#SURVIVED#257	swapped	does_not_apply	0.100	0.870	0.030	0.810	0.470	true
glam-sdk-java/services#services#GlobalConfigCacheImpl.run#RemoveConditionalMutator_EQUAL_IF#SURVIVED#257	real	does_not_apply	0.050	0.920	0.030	0.870	0.570	true
glam-sdk-java/services#services#GlobalConfigCacheImpl.run#RemoveConditionalMutator_EQUAL_IF#SURVIVED#257	swapped	does_not_apply	0.150	0.820	0.030	0.740	0.510	true
glam-sdk-java/services#services#GlobalConfigCacheImpl.run#RemoveConditionalMutator_EQUAL_IF#SURVIVED#259	real	does_not_apply	0.070	0.890	0.040	0.830	0.520	true
glam-sdk-java/services#services#GlobalConfigCacheImpl.run#RemoveConditionalMutator_EQUAL_IF#SURVIVED#259	swapped	does_not_apply	0.210	0.760	0.030	0.630	0.500	true
glam-sdk-java/services#services#GlobalConfigCacheImpl.run#RemoveConditionalMutator_ORDER_ELSE#SURVIVED#259	real	does_not_apply	0.010	0.960	0.030	0.940	0.560	true
glam-sdk-java/services#services#GlobalConfigCacheImpl.run#RemoveConditionalMutator_ORDER_ELSE#SURVIVED#259	swapped	does_not_apply	0.170	0.800	0.030	0.710	0.420	true
glam-sdk-java/services#services#GlobalConfigCacheImpl.topPriorityForMintChecked#RemoveConditionalMutator_EQUAL_ELSE#SURVIVED#172	real	does_not_apply	0.040	0.880	0.080	0.820	0.150	true
glam-sdk-java/services#services#GlobalConfigCacheImpl.topPriorityForMintChecked#RemoveConditionalMutator_EQUAL_ELSE#SURVIVED#172	swapped	does_not_apply	0.240	0.650	0.110	0.480	0.130	true
glam-sdk-java/services#services#GlobalConfigCacheImpl.topPriorityForMintChecked#RemoveConditionalMutator_EQUAL_ELSE#SURVIVED#178	real	does_not_apply	0.050	0.900	0.050	0.860	0.130	true
glam-sdk-java/services#services#GlobalConfigCacheImpl.topPriorityForMintChecked#RemoveConditionalMutator_EQUAL_ELSE#SURVIVED#178	swapped	does_not_apply	0.200	0.700	0.100	0.540	0.120	true
glam-sdk-java/services#services#GlobalConfigCacheImpl.topPriorityForMintChecked#RemoveConditionalMutator_EQUAL_IF#SURVIVED#172	real	does_not_apply	0.060	0.880	0.060	0.820	0.150	true
glam-sdk-java/services#services#GlobalConfigCacheImpl.topPriorityForMintChecked#RemoveConditionalMutator_EQUAL_IF#SURVIVED#172	swapped	does_not_apply	0.170	0.750	0.080	0.630	0.120	true
glam-sdk-java/services#services#GlobalConfigCacheImpl.topPriorityForMintChecked#RemoveConditionalMutator_EQUAL_IF#SURVIVED#178	real	does_not_apply	0.100	0.830	0.070	0.740	0.140	true
glam-sdk-java/services#services#GlobalConfigCacheImpl.topPriorityForMintChecked#RemoveConditionalMutator_EQUAL_IF#SURVIVED#178	swapped	does_not_apply	0.170	0.740	0.090	0.600	0.120	true
glam-sdk-java/services#services#GlobalConfigCacheImpl.topPriorityForMintChecked#VoidMethodCallMutator#SURVIVED#183	real	does_not_apply	0.120	0.810	0.070	0.700	0.110	false
glam-sdk-java/services#services#GlobalConfigCacheImpl.topPriorityForMintChecked#VoidMethodCallMutator#SURVIVED#183	swapped	does_not_apply	0.010	0.960	0.030	0.940	0.110	false
glam-sdk-java/services#services#KeyedFlatFileImpl.appendEntry#VoidMethodCallMutator#SURVIVED#43	real	applies	0.980	0.020	0.000	0.970	0.840	true
glam-sdk-java/services#services#KeyedFlatFileImpl.appendEntry#VoidMethodCallMutator#SURVIVED#43	swapped	does_not_apply	0.010	0.990	0.000	0.990	0.800	false
glam-sdk-java/services#services#KeyedFlatFileImpl.close#RemoveConditionalMutator_EQUAL_IF#SURVIVED#126	real	does_not_apply	0.150	0.830	0.020	0.740	0.790	false
glam-sdk-java/services#services#KeyedFlatFileImpl.close#RemoveConditionalMutator_EQUAL_IF#SURVIVED#126	swapped	does_not_apply	0.120	0.870	0.010	0.800	0.760	false
glam-sdk-java/services#services#KeyedFlatFileImpl.deleteEntry#ConditionalsBoundaryMutator#SURVIVED#69	real	does_not_apply	0.010	0.990	0.000	0.990	0.440	false
glam-sdk-java/services#services#KeyedFlatFileImpl.deleteEntry#ConditionalsBoundaryMutator#SURVIVED#69	swapped	does_not_apply	0.010	0.990	0.000	0.990	0.470	false
glam-sdk-java/services#services#KeyedFlatFileImpl.deleteEntry#NakedReceiverMutator#SURVIVED#75	real	does_not_apply	0.460	0.530	0.010	0.290	0.700	true
glam-sdk-java/services#services#KeyedFlatFileImpl.deleteEntry#NakedReceiverMutator#SURVIVED#75	swapped	does_not_apply	0.000	1.000	0.000	0.990	0.600	false
glam-sdk-java/services#services#KeyedFlatFileImpl.deleteEntry#PrimitiveReturnsMutator#SURVIVED#57	real	does_not_apply	0.010	0.990	0.000	0.990	0.620	false
glam-sdk-java/services#services#KeyedFlatFileImpl.deleteEntry#PrimitiveReturnsMutator#SURVIVED#57	swapped	applies	0.960	0.040	0.000	0.940	0.710	true
glam-sdk-java/services#services#KeyedFlatFileImpl.deleteEntry#RemoveConditionalMutator_EQUAL_ELSE#SURVIVED#56	real	does_not_apply	0.010	0.990	0.000	0.980	0.380	false
glam-sdk-java/services#services#KeyedFlatFileImpl.deleteEntry#RemoveConditionalMutator_EQUAL_ELSE#SURVIVED#56	swapped	does_not_apply	0.010	0.990	0.000	0.990	0.630	false
glam-sdk-java/services#services#KeyedFlatFileImpl.deleteEntry#RemoveConditionalMutator_ORDER_IF#SURVIVED#69	real	does_not_apply	0.000	1.000	0.000	0.990	0.440	false
glam-sdk-java/services#services#KeyedFlatFileImpl.deleteEntry#RemoveConditionalMutator_ORDER_IF#SURVIVED#69	swapped	does_not_apply	0.010	0.990	0.000	0.990	0.600	false
glam-sdk-java/services#services#KeyedFlatFileImpl.deleteEntry#VoidMethodCallMutator#SURVIVED#81	real	applies	0.960	0.040	0.000	0.930	0.540	true
glam-sdk-java/services#services#KeyedFlatFileImpl.deleteEntry#VoidMethodCallMutator#SURVIVED#81	swapped	does_not_apply	0.010	0.990	0.000	0.990	0.660	false
glam-sdk-java/services#services#KeyedFlatFileImpl.overwriteFile#VoidMethodCallMutator#SURVIVED#114	real	applies	0.990	0.010	0.000	0.980	0.870	true
glam-sdk-java/services#services#KeyedFlatFileImpl.overwriteFile#VoidMethodCallMutator#SURVIVED#114	swapped	does_not_apply	0.010	0.990	0.000	0.990	0.810	false
glam-sdk-java/services#services#MinGlamStateAccount.createIfChanged#RemoveConditionalMutator_EQUAL_IF#SURVIVED#248	real	applies	0.810	0.180	0.010	0.720	0.140	true
glam-sdk-java/services#services#MinGlamStateAccount.createIfChanged#RemoveConditionalMutator_EQUAL_IF#SURVIVED#248	swapped	does_not_apply	0.110	0.890	0.000	0.830	0.230	false
glam-sdk-java/services#services#MinGlamStateAccount.createIfChanged#RemoveConditionalMutator_EQUAL_IF#SURVIVED#266	real	applies	0.820	0.180	0.000	0.720	0.140	true
glam-sdk-java/services#services#MinGlamStateAccount.createIfChanged#RemoveConditionalMutator_EQUAL_IF#SURVIVED#266	swapped	does_not_apply	0.100	0.900	0.000	0.840	0.240	false
glam-sdk-java/services#services#MinGlamStateAccount.hashCode#MathMutator#SURVIVED#383	real	applies	0.890	0.100	0.010	0.830	0.100	true
glam-sdk-java/services#services#MinGlamStateAccount.hashCode#MathMutator#SURVIVED#383	swapped	does_not_apply	0.010	0.990	0.000	0.980	0.130	false
glam-sdk-java/services#services#MinGlamStateAccount.hashCode#MathMutator#SURVIVED#384	real	applies	0.910	0.080	0.010	0.860	0.100	true
glam-sdk-java/services#services#MinGlamStateAccount.hashCode#MathMutator#SURVIVED#384	swapped	does_not_apply	0.010	0.990	0.000	0.980	0.140	false
glam-sdk-java/services#services#MinGlamStateAccount.hashCode#MathMutator#SURVIVED#385	real	applies	0.890	0.100	0.010	0.830	0.100	true
glam-sdk-java/services#services#MinGlamStateAccount.hashCode#MathMutator#SURVIVED#385	swapped	does_not_apply	0.010	0.990	0.000	0.980	0.130	false
glam-sdk-java/services#services#MinGlamStateAccount.hashCode#MathMutator#SURVIVED#386	real	applies	0.890	0.100	0.010	0.840	0.090	true
glam-sdk-java/services#services#MinGlamStateAccount.hashCode#MathMutator#SURVIVED#386	swapped	does_not_apply	0.010	0.990	0.000	0.980	0.140	false
glam-sdk-java/services#services#MinGlamStateAccount.hashCode#MathMutator#SURVIVED#387	real	applies	0.890	0.100	0.010	0.830	0.100	true
glam-sdk-java/services#services#MinGlamStateAccount.hashCode#MathMutator#SURVIVED#387	swapped	does_not_apply	0.020	0.980	0.000	0.970	0.130	false
glam-sdk-java/services#services#MinGlamStateAccount.hashCode#MathMutator#SURVIVED#388	real	applies	0.890	0.100	0.010	0.830	0.090	true
glam-sdk-java/services#services#MinGlamStateAccount.hashCode#MathMutator#SURVIVED#388	swapped	does_not_apply	0.010	0.990	0.000	0.980	0.130	false
glam-sdk-java/services#services#MinGlamStateAccount.hashCode#MathMutator#SURVIVED#389	real	applies	0.880	0.110	0.010	0.830	0.100	true
glam-sdk-java/services#services#MinGlamStateAccount.hashCode#MathMutator#SURVIVED#389	swapped	does_not_apply	0.010	0.990	0.000	0.970	0.130	false
glam-sdk-java/services#services#MinGlamStateAccount.hashCode#MathMutator#SURVIVED#390	real	applies	0.890	0.100	0.010	0.830	0.090	true
glam-sdk-java/services#services#MinGlamStateAccount.hashCode#MathMutator#SURVIVED#390	swapped	does_not_apply	0.020	0.980	0.000	0.970	0.130	false
glam-sdk-java/services#services#MinGlamStateAccount.hashCode#MathMutator#SURVIVED#391	real	applies	0.910	0.080	0.010	0.860	0.090	true
glam-sdk-java/services#services#MinGlamStateAccount.hashCode#MathMutator#SURVIVED#391	swapped	does_not_apply	0.020	0.980	0.000	0.970	0.130	false
glam-sdk-java/services#services#SingleAssetFulfillmentServiceEntrypoint.createService#NakedReceiverMutator#NO_COVERAGE#89	real	does_not_apply	0.030	0.860	0.110	0.780	0.170	false
glam-sdk-java/services#services#SingleAssetFulfillmentServiceEntrypoint.createService#NakedReceiverMutator#NO_COVERAGE#89	swapped	does_not_apply	0.000	0.980	0.020	0.970	0.190	false
glam-sdk-java/services#services#SingleAssetFulfillmentServiceEntrypoint.createService#NakedReceiverMutator#NO_COVERAGE#90	real	does_not_apply	0.050	0.860	0.090	0.790	0.190	false
glam-sdk-java/services#services#SingleAssetFulfillmentServiceEntrypoint.createService#NakedReceiverMutator#NO_COVERAGE#90	swapped	does_not_apply	0.000	0.990	0.010	0.980	0.180	false
glam-sdk-java/services#services#SingleAssetFulfillmentServiceEntrypoint.createService#NullReturnValsMutator#NO_COVERAGE#184	real	does_not_apply	0.010	0.970	0.020	0.960	0.160	false
glam-sdk-java/services#services#SingleAssetFulfillmentServiceEntrypoint.createService#NullReturnValsMutator#NO_COVERAGE#184	swapped	does_not_apply	0.010	0.930	0.060	0.900	0.180	false
glam-sdk-java/services#services#SingleAssetFulfillmentServiceEntrypoint.createService#RemoveConditionalMutator_EQUAL_ELSE#NO_COVERAGE#112	real	does_not_apply	0.000	0.950	0.050	0.910	0.180	false
glam-sdk-java/services#services#SingleAssetFulfillmentServiceEntrypoint.createService#RemoveConditionalMutator_EQUAL_ELSE#NO_COVERAGE#112	swapped	does_not_apply	0.010	0.950	0.040	0.920	0.170	false
glam-sdk-java/services#services#SingleAssetFulfillmentServiceEntrypoint.createService#RemoveConditionalMutator_EQUAL_ELSE#NO_COVERAGE#121	real	does_not_apply	0.000	0.940	0.060	0.900	0.210	false
glam-sdk-java/services#services#SingleAssetFulfillmentServiceEntrypoint.createService#RemoveConditionalMutator_EQUAL_ELSE#NO_COVERAGE#121	swapped	does_not_apply	0.010	0.950	0.040	0.930	0.190	false
glam-sdk-java/services#services#SingleAssetFulfillmentServiceEntrypoint.createService#RemoveConditionalMutator_EQUAL_IF#NO_COVERAGE#112	real	does_not_apply	0.000	0.960	0.040	0.930	0.180	false
glam-sdk-java/services#services#SingleAssetFulfillmentServiceEntrypoint.createService#RemoveConditionalMutator_EQUAL_IF#NO_COVERAGE#112	swapped	does_not_apply	0.010	0.950	0.040	0.920	0.170	false
glam-sdk-java/services#services#SingleAssetFulfillmentServiceEntrypoint.createService#RemoveConditionalMutator_EQUAL_IF#NO_COVERAGE#121	real	does_not_apply	0.010	0.930	0.060	0.910	0.200	false
glam-sdk-java/services#services#SingleAssetFulfillmentServiceEntrypoint.createService#RemoveConditionalMutator_EQUAL_IF#NO_COVERAGE#121	swapped	does_not_apply	0.010	0.960	0.030	0.940	0.200	false
glam-sdk-java/services#services#SingleAssetFulfillmentServiceEntrypoint.createService#VoidMethodCallMutator#NO_COVERAGE#135	real	does_not_apply	0.010	0.930	0.060	0.900	0.160	false
glam-sdk-java/services#services#SingleAssetFulfillmentServiceEntrypoint.createService#VoidMethodCallMutator#NO_COVERAGE#135	swapped	does_not_apply	0.000	0.990	0.010	0.980	0.220	false
glam-sdk-java/services#services#SingleAssetFulfillmentServiceEntrypoint.createService#VoidMethodCallMutator#NO_COVERAGE#182	real	does_not_apply	0.010	0.930	0.060	0.900	0.170	false
glam-sdk-java/services#services#SingleAssetFulfillmentServiceEntrypoint.createService#VoidMethodCallMutator#NO_COVERAGE#182	swapped	does_not_apply	0.000	0.990	0.010	0.980	0.260	false
glam-sdk-java/services#services#SingleAssetFulfillmentServiceEntrypoint.createService#VoidMethodCallMutator#NO_COVERAGE#77	real	does_not_apply	0.010	0.920	0.070	0.880	0.200	false
glam-sdk-java/services#services#SingleAssetFulfillmentServiceEntrypoint.createService#VoidMethodCallMutator#NO_COVERAGE#77	swapped	does_not_apply	0.000	0.990	0.010	0.980	0.210	false
glam-sdk-java/services#services#SingleAssetFulfillmentServiceEntrypoint.lambda$createService$0#NullReturnValsMutator#NO_COVERAGE#102	real	does_not_apply	0.010	0.960	0.030	0.950	0.170	false
glam-sdk-java/services#services#SingleAssetFulfillmentServiceEntrypoint.lambda$createService$0#NullReturnValsMutator#NO_COVERAGE#102	swapped	does_not_apply	0.010	0.940	0.050	0.910	0.180	false
glam-sdk-java/services#services#SingleAssetFulfillmentServiceEntrypoint.lambda$createService$1#NullReturnValsMutator#NO_COVERAGE#127	real	does_not_apply	0.010	0.970	0.020	0.960	0.200	false
glam-sdk-java/services#services#SingleAssetFulfillmentServiceEntrypoint.lambda$createService$1#NullReturnValsMutator#NO_COVERAGE#127	swapped	does_not_apply	0.010	0.940	0.050	0.910	0.180	false
glam-sdk-java/services#services#SingleAssetFulfillmentServiceEntrypoint.main#NakedReceiverMutator#NO_COVERAGE#43	real	does_not_apply	0.020	0.880	0.100	0.820	0.280	false
glam-sdk-java/services#services#SingleAssetFulfillmentServiceEntrypoint.main#NakedReceiverMutator#NO_COVERAGE#43	swapped	does_not_apply	0.000	0.980	0.020	0.970	0.320	false
glam-sdk-java/services#services#SingleAssetFulfillmentServiceEntrypoint.main#RemoveConditionalMutator_EQUAL_ELSE#NO_COVERAGE#39	real	does_not_apply	0.010	0.920	0.070	0.870	0.360	false
glam-sdk-java/services#services#SingleAssetFulfillmentServiceEntrypoint.main#RemoveConditionalMutator_EQUAL_ELSE#NO_COVERAGE#39	swapped	does_not_apply	0.020	0.910	0.070	0.870	0.390	false
