pair_id	level	p_same	p_narrowed	score	confidence	new_evidence	exact_line	jaccard
wf_5769d01d-035#ac4bfc4b981232c62#findings#1 | wf_5769d01d-035#ab8454c3222ddbfc5#findings#0	1	0.060	0.490	0.610	0.230	0.970	true	0.284
wf_5769d01d-035#ac4bfc4b981232c62#findings#1 | wf_5769d01d-035#a1c4f1c8705fefd64#findings#1	1	0.090	0.470	0.660	0.200	0.970	true	0.252
wf_5769d01d-035#ab8454c3222ddbfc5#findings#0 | wf_5769d01d-035#a1c4f1c8705fefd64#findings#1	1	0.210	0.760	1.180	0.630	0.920	true	0.250
wf_5769d01d-035#a03369b15432a62e2#findings#1 | wf_5769d01d-035#a91761edbf942fbd7#findings#1	1	0.440	0.480	1.360	0.210	0.950	true	0.274
wf_5769d01d-035#a03369b15432a62e2#findings#1 | wf_5769d01d-035#a1c4f1c8705fefd64#findings#4	2	0.640	0.350	1.630	0.450	0.950	true	0.209
wf_5769d01d-035#a91761edbf942fbd7#findings#1 | wf_5769d01d-035#a1c4f1c8705fefd64#findings#4	2	0.540	0.310	1.390	0.080	0.960	true	0.256
wf_76c8d6d2-86c#a36c1747d75e363c4#findings#0 | wf_76c8d6d2-86c#a5a3ddd5cb0a8efa5#findings#1	1	0.050	0.490	0.600	0.240	0.980	true	0.331
wf_76c8d6d2-86c#a36c1747d75e363c4#findings#0 | wf_76c8d6d2-86c#abd6ba32b2e7c84c4#findings#1	2	0.620	0.370	1.610	0.420	0.400	true	0.408
wf_76c8d6d2-86c#a5a3ddd5cb0a8efa5#findings#1 | wf_76c8d6d2-86c#abd6ba32b2e7c84c4#findings#1	1	0.120	0.780	1.030	0.670	0.440	true	0.268
wf_76c8d6d2-86c#abd6ba32b2e7c84c4#findings#0 | wf_76c8d6d2-86c#a92f7f0ba87a63b0b#findings#2	2	0.710	0.290	1.700	0.560	0.500	true	0.434
wf_77650a4c-eec#a313b2161956eaba6#findings#0 | wf_77650a4c-eec#aeb6fcf137bd4291a#findings#0	1	0.420	0.560	1.400	0.340	0.520	true	0.283
wf_77650a4c-eec#a313b2161956eaba6#findings#0 | wf_77650a4c-eec#a4e287a1b2b197430#findings#0	2	0.680	0.310	1.670	0.500	0.790	true	0.304
wf_77650a4c-eec#a313b2161956eaba6#findings#0 | wf_77650a4c-eec#a4232bf8e8f11daa2#findings#0	2	0.870	0.120	1.860	0.800	0.890	true	0.360
wf_77650a4c-eec#aeb6fcf137bd4291a#findings#0 | wf_77650a4c-eec#a4e287a1b2b197430#findings#0	2	0.940	0.060	1.940	0.910	0.810	true	0.333
wf_77650a4c-eec#aeb6fcf137bd4291a#findings#0 | wf_77650a4c-eec#a4232bf8e8f11daa2#findings#0	1	0.200	0.540	0.940	0.320	0.950	true	0.281
wf_77650a4c-eec#a4e287a1b2b197430#findings#0 | wf_77650a4c-eec#a4232bf8e8f11daa2#findings#0	1	0.160	0.470	0.790	0.210	0.950	true	0.347
wf_82d378e6-c04#abe5fed68ac09f4b1#findings#0 | wf_82d378e6-c04#a3efb6ffccb75787b#findings#0	1	0.290	0.560	1.140	0.330	0.920	true	0.258
wf_82d378e6-c04#abe5fed68ac09f4b1#findings#0 | wf_82d378e6-c04#a101acdbb64eb4236#findings#0	2	0.560	0.390	1.510	0.260	0.850	true	0.298
wf_82d378e6-c04#abe5fed68ac09f4b1#findings#0 | wf_82d378e6-c04#a676e2a7da0603a63#findings#0	1	0.330	0.560	1.220	0.350	0.820	true	0.258
wf_82d378e6-c04#abe5fed68ac09f4b1#findings#0 | wf_82d378e6-c04#a0126e6bfdab0dac6#findings#0	1	0.200	0.430	0.830	0.140	0.800	true	0.232
wf_82d378e6-c04#abe5fed68ac09f4b1#findings#0 | wf_82d378e6-c04#a3f92776d639e4d5d#findings#0	1	0.340	0.440	1.120	0.160	0.730	true	0.315
wf_82d378e6-c04#abe5fed68ac09f4b1#findings#1 | wf_82d378e6-c04#a101acdbb64eb4236#findings#2	0	0.000	0.010	0.010	0.980	0.900	true	0.176
wf_82d378e6-c04#abe5fed68ac09f4b1#findings#2 | wf_82d378e6-c04#a101acdbb64eb4236#findings#3	2	0.580	0.410	1.570	0.360	0.810	true	0.320
wf_82d378e6-c04#abe5fed68ac09f4b1#findings#2 | wf_82d378e6-c04#a3f92776d639e4d5d#findings#1	1	0.450	0.510	1.410	0.280	0.670	true	0.339
wf_82d378e6-c04#abe5fed68ac09f4b1#findings#3 | wf_82d378e6-c04#a3efb6ffccb75787b#findings#3	2	0.780	0.220	1.780	0.670	0.810	true	0.362
wf_82d378e6-c04#a3efb6ffccb75787b#findings#0 | wf_82d378e6-c04#a101acdbb64eb4236#findings#0	2	0.490	0.480	1.460	0.190	0.830	true	0.277
wf_82d378e6-c04#a3efb6ffccb75787b#findings#0 | wf_82d378e6-c04#a676e2a7da0603a63#findings#0	1	0.250	0.670	1.170	0.500	0.840	true	0.291
wf_82d378e6-c04#a3efb6ffccb75787b#findings#0 | wf_82d378e6-c04#a0126e6bfdab0dac6#findings#0	1	0.330	0.590	1.250	0.400	0.860	true	0.244
wf_82d378e6-c04#a3efb6ffccb75787b#findings#0 | wf_82d378e6-c04#a3f92776d639e4d5d#findings#0	2	0.540	0.410	1.500	0.240	0.890	true	0.294
wf_82d378e6-c04#a101acdbb64eb4236#findings#0 | wf_82d378e6-c04#a676e2a7da0603a63#findings#0	1	0.390	0.580	1.360	0.370	0.540	true	0.369
wf_82d378e6-c04#a101acdbb64eb4236#findings#0 | wf_82d378e6-c04#a0126e6bfdab0dac6#findings#0	1	0.350	0.500	1.210	0.240	0.660	true	0.321
wf_82d378e6-c04#a101acdbb64eb4236#findings#0 | wf_82d378e6-c04#a3f92776d639e4d5d#findings#0	2	0.500	0.480	1.480	0.210	0.610	true	0.340
wf_82d378e6-c04#a101acdbb64eb4236#findings#3 | wf_82d378e6-c04#a3f92776d639e4d5d#findings#1	1	0.220	0.730	1.180	0.590	0.870	true	0.293
wf_82d378e6-c04#a676e2a7da0603a63#findings#0 | wf_82d378e6-c04#a0126e6bfdab0dac6#findings#0	1	0.440	0.520	1.400	0.270	0.790	true	0.385
wf_82d378e6-c04#a676e2a7da0603a63#findings#0 | wf_82d378e6-c04#a3f92776d639e4d5d#findings#0	2	0.560	0.420	1.540	0.320	0.760	true	0.297
wf_82d378e6-c04#a0126e6bfdab0dac6#findings#0 | wf_82d378e6-c04#a3f92776d639e4d5d#findings#0	1	0.460	0.510	1.440	0.270	0.790	true	0.292
wf_82d378e6-c04#abe5fed68ac09f4b1#findings#4 | wf_82d378e6-c04#a101acdbb64eb4236#findings#4	2	0.910	0.090	1.910	0.860	0.910	true	0.315
wf_82d378e6-c04#abe5fed68ac09f4b1#findings#4 | wf_82d378e6-c04#a676e2a7da0603a63#findings#3	2	0.890	0.110	1.890	0.840	0.820	true	0.321
wf_82d378e6-c04#abe5fed68ac09f4b1#findings#4 | wf_82d378e6-c04#a0126e6bfdab0dac6#findings#1	2	0.990	0.010	1.990	0.980	0.500	true	0.322
wf_82d378e6-c04#abe5fed68ac09f4b1#findings#4 | wf_82d378e6-c04#a3f92776d639e4d5d#findings#2	2	0.940	0.060	1.930	0.900	0.790	true	0.331
wf_82d378e6-c04#a101acdbb64eb4236#findings#4 | wf_82d378e6-c04#a676e2a7da0603a63#findings#3	2	0.630	0.310	1.570	0.350	0.530	true	0.402
wf_82d378e6-c04#a101acdbb64eb4236#findings#4 | wf_82d378e6-c04#a0126e6bfdab0dac6#findings#1	2	0.970	0.030	1.970	0.950	0.370	true	0.295
wf_82d378e6-c04#a101acdbb64eb4236#findings#4 | wf_82d378e6-c04#a3f92776d639e4d5d#findings#2	2	0.950	0.050	1.940	0.910	0.860	true	0.361
wf_82d378e6-c04#a676e2a7da0603a63#findings#3 | wf_82d378e6-c04#a0126e6bfdab0dac6#findings#1	2	0.960	0.040	1.960	0.940	0.740	true	0.358
wf_82d378e6-c04#a676e2a7da0603a63#findings#3 | wf_82d378e6-c04#a3f92776d639e4d5d#findings#2	2	0.920	0.080	1.920	0.870	0.880	true	0.299
wf_82d378e6-c04#a0126e6bfdab0dac6#findings#1 | wf_82d378e6-c04#a3f92776d639e4d5d#findings#2	2	0.930	0.070	1.920	0.890	0.890	true	0.338
wf_82d378e6-c04#a0126e6bfdab0dac6#findings#2 | wf_82d378e6-c04#a3f92776d639e4d5d#findings#3	2	0.980	0.020	1.980	0.970	0.760	true	0.352
wf_c3e0c64f-f5c#a1d8b35ee91fd9ce5#findings#2 | wf_c3e0c64f-f5c#a0256675dd47ac296#findings#1	0	0.010	0.070	0.090	0.860	0.950	true	0.202
wf_c3e0c64f-f5c#a2f3fbc1ade20496b#findings#0 | wf_c3e0c64f-f5c#a672c85bbd3fc660e#findings#2	0	0.040	0.440	0.520	0.220	0.970	true	0.162
wf_c3e0c64f-f5c#a2f3fbc1ade20496b#findings#0 | wf_c3e0c64f-f5c#a50822fdfd68e8324#findings#0	1	0.070	0.550	0.690	0.320	0.960	true	0.229
wf_c3e0c64f-f5c#a672c85bbd3fc660e#findings#0 | wf_c3e0c64f-f5c#a50822fdfd68e8324#findings#1	2	0.930	0.070	1.920	0.890	0.900	true	0.363
wf_c3e0c64f-f5c#a672c85bbd3fc660e#findings#2 | wf_c3e0c64f-f5c#a50822fdfd68e8324#findings#0	0	0.010	0.160	0.190	0.710	0.980	true	0.157
wf_d17ca8ef-665#ac3c0166e398ea731#findings#0 | wf_d17ca8ef-665#a4134169cb7900b30#findings#0	1	0.350	0.520	1.230	0.280	0.960	true	0.310
wf_d17ca8ef-665#ac3c0166e398ea731#findings#1 | wf_d17ca8ef-665#a82b6ecd154600121#findings#0	1	0.120	0.560	0.800	0.330	0.950	true	0.150
wf_d3d5fc1b-5c0#a482ef11724ccdf94#findings#3 | wf_d3d5fc1b-5c0#a72d813c023957f4f#findings#3	2	0.500	0.480	1.480	0.230	0.960	true	0.306
wf_d3d5fc1b-5c0#a4ea3e562359a4fa5#findings#3 | wf_d3d5fc1b-5c0#a482ef11724ccdf94#findings#2	0	0.020	0.080	0.110	0.830	0.960	true	0.162
wf_d3d5fc1b-5c0#a25c42345980ae326#findings#0 | wf_d3d5fc1b-5c0#a15b551aea34dfdd2#findings#0	1	0.230	0.630	1.090	0.450	0.900	true	0.379
wf_d3d5fc1b-5c0#a25c42345980ae326#findings#0 | wf_d3d5fc1b-5c0#a482ef11724ccdf94#findings#1	2	0.800	0.170	1.770	0.650	0.970	true	0.311
wf_d3d5fc1b-5c0#a15b551aea34dfdd2#findings#0 | wf_d3d5fc1b-5c0#a482ef11724ccdf94#findings#1	2	0.600	0.290	1.500	0.240	0.970	true	0.229
wf_d3d5fc1b-5c0#a6b39484a516b69ae#findings#1 | wf_d3d5fc1b-5c0#a733f4dfc16db7f04#findings#0	1	0.410	0.530	1.360	0.300	0.970	true	0.229
wf_d3d5fc1b-5c0#a6b39484a516b69ae#findings#1 | wf_d3d5fc1b-5c0#a72d813c023957f4f#findings#2	1	0.330	0.590	1.240	0.380	0.980	true	0.205
wf_d3d5fc1b-5c0#a733f4dfc16db7f04#findings#0 | wf_d3d5fc1b-5c0#a72d813c023957f4f#findings#2	2	0.820	0.170	1.820	0.730	0.970	true	0.292
wf_d3d5fc1b-5c0#a482ef11724ccdf94#findings#0 | wf_d3d5fc1b-5c0#a72d813c023957f4f#findings#0	2	0.510	0.480	1.490	0.240	0.940	true	0.277
wf_31eab451-c22#a7c9675035a12dfbf#findings#0 | wf_31eab451-c22#a3db2d68b1266052c#findings#2	2	0.820	0.170	1.820	0.730	0.190	true	0.500
wf_31eab451-c22#a0cafd0f616a39fba#findings#1 | wf_31eab451-c22#a3db2d68b1266052c#findings#0	0	0.020	0.270	0.320	0.520	0.980	true	0.122
wf_31eab451-c22#a0cafd0f616a39fba#findings#6 | wf_31eab451-c22#a3db2d68b1266052c#findings#1	1	0.140	0.530	0.810	0.300	0.710	true	0.070
wf_31eab451-c22#a4b32ecaf01ed20a4#findings#2 | wf_31eab451-c22#a3db2d68b1266052c#findings#3	2	0.960	0.040	1.960	0.930	0.500	true	0.781
wf_ff0be015-683#a5d3efe1f4b8755d1#findings#0 | wf_ff0be015-683#af5c8c3a408b14a78#findings#0	2	0.990	0.010	1.990	0.990	0.060	true	0.490
wf_ff0be015-683#afa04044ed09bb175#findings#0 | wf_ff0be015-683#a03e9855e2e484263#findings#0	2	0.920	0.080	1.910	0.860	0.750	true	0.271
wf_ff0be015-683#a5d3efe1f4b8755d1#findings#1 | wf_ff0be015-683#afa04044ed09bb175#findings#3	2	0.820	0.180	1.820	0.730	0.140	true	0.364
wf_ff0be015-683#a5d3efe1f4b8755d1#findings#5 | wf_ff0be015-683#afa04044ed09bb175#findings#4	2	0.990	0.010	1.990	0.980	0.150	true	0.762
wf_ff0be015-683#a5d3efe1f4b8755d1#findings#5 | wf_ff0be015-683#a03e9855e2e484263#findings#3	2	0.990	0.010	1.990	0.980	0.210	true	0.521
wf_ff0be015-683#afa04044ed09bb175#findings#4 | wf_ff0be015-683#a03e9855e2e484263#findings#3	2	0.970	0.030	1.970	0.950	0.090	true	0.578
wf_ff0be015-683#a5d3efe1f4b8755d1#findings#2 | wf_ff0be015-683#afa04044ed09bb175#findings#1	2	0.680	0.310	1.680	0.520	0.530	true	0.364
wf_ff0be015-683#a5d3efe1f4b8755d1#findings#2 | wf_ff0be015-683#af5c8c3a408b14a78#findings#4	2	0.880	0.110	1.880	0.810	0.080	true	0.333
wf_ff0be015-683#a5d3efe1f4b8755d1#findings#2 | wf_ff0be015-683#a03e9855e2e484263#findings#4	2	0.630	0.270	1.540	0.310	0.330	true	0.286
wf_ff0be015-683#afa04044ed09bb175#findings#1 | wf_ff0be015-683#af5c8c3a408b14a78#findings#4	2	0.940	0.050	1.940	0.910	0.090	true	0.375
wf_ff0be015-683#afa04044ed09bb175#findings#1 | wf_ff0be015-683#a03e9855e2e484263#findings#4	1	0.390	0.460	1.250	0.190	0.430	true	0.093
wf_ff0be015-683#af5c8c3a408b14a78#findings#4 | wf_ff0be015-683#a03e9855e2e484263#findings#4	1	0.320	0.470	1.110	0.200	0.580	true	0.105
wf_ff0be015-683#a5d3efe1f4b8755d1#findings#3 | wf_ff0be015-683#afa04044ed09bb175#findings#2	1	0.270	0.460	1.000	0.180	0.920	true	0.232
wf_ff0be015-683#a5d3efe1f4b8755d1#findings#3 | wf_ff0be015-683#af5c8c3a408b14a78#findings#3	1	0.160	0.560	0.870	0.340	0.970	true	0.269
wf_ff0be015-683#afa04044ed09bb175#findings#2 | wf_ff0be015-683#af5c8c3a408b14a78#findings#3	1	0.170	0.470	0.810	0.200	0.960	true	0.275
wf_ff0be015-683#a5d3efe1f4b8755d1#findings#4 | wf_ff0be015-683#afa04044ed09bb175#findings#5	2	0.700	0.270	1.670	0.500	0.530	true	0.261
wf_ff0be015-683#a5d3efe1f4b8755d1#findings#4 | wf_ff0be015-683#af5c8c3a408b14a78#findings#2	0	0.080	0.330	0.500	0.260	0.860	true	0.157
wf_ff0be015-683#a5d3efe1f4b8755d1#findings#4 | wf_ff0be015-683#a03e9855e2e484263#findings#1	1	0.170	0.740	1.080	0.610	0.810	true	0.172
wf_ff0be015-683#afa04044ed09bb175#findings#5 | wf_ff0be015-683#af5c8c3a408b14a78#findings#2	1	0.260	0.560	1.080	0.340	0.620	true	0.359
wf_ff0be015-683#afa04044ed09bb175#findings#5 | wf_ff0be015-683#a03e9855e2e484263#findings#1	1	0.110	0.880	1.100	0.810	0.850	true	0.211
wf_ff0be015-683#af5c8c3a408b14a78#findings#2 | wf_ff0be015-683#a03e9855e2e484263#findings#1	1	0.110	0.790	1.010	0.680	0.910	true	0.148
wf_b431194a-57b#a8ce10d5241f27736#findings#0 | wf_b431194a-57b#a411170a4cc265146#findings#2	1	0.360	0.620	1.340	0.430	0.430	true	0.455
wf_b431194a-57b#a8ce10d5241f27736#findings#0 | wf_b431194a-57b#a7d61403c27cc9f37#findings#0	2	0.900	0.090	1.900	0.840	0.410	true	0.732
wf_b431194a-57b#a8ce10d5241f27736#findings#3 | wf_b431194a-57b#a411170a4cc265146#findings#3	1	0.090	0.780	0.960	0.660	0.880	true	0.324
wf_b431194a-57b#a8ce10d5241f27736#findings#3 | wf_b431194a-57b#a7d61403c27cc9f37#findings#3	2	0.880	0.110	1.870	0.810	0.610	true	0.344
wf_b431194a-57b#a411170a4cc265146#findings#0 | wf_b431194a-57b#a7d61403c27cc9f37#findings#1	2	0.930	0.070	1.920	0.880	0.640	true	0.508
wf_b431194a-57b#a411170a4cc265146#findings#2 | wf_b431194a-57b#a7d61403c27cc9f37#findings#0	2	0.990	0.010	1.990	0.980	0.240	true	0.489
wf_b431194a-57b#a411170a4cc265146#findings#3 | wf_b431194a-57b#a7d61403c27cc9f37#findings#3	2	0.950	0.050	1.950	0.920	0.190	true	0.512
wf_567bf3e9-b14#adb5628cb7ddba763#nonConflictConcerns#4 | wf_567bf3e9-b14#a319509c7b12dd47a#nonConflictConcerns#4	2	0.970	0.030	1.960	0.950	0.740	false	0.896
wf_567bf3e9-b14#adb5628cb7ddba763#nonConflictConcerns#2 | wf_567bf3e9-b14#a319509c7b12dd47a#nonConflictConcerns#2	2	0.940	0.060	1.940	0.910	0.970	false	0.844
wf_567bf3e9-b14#adb5628cb7ddba763#nonConflictConcerns#0 | wf_567bf3e9-b14#a319509c7b12dd47a#nonConflictConcerns#0	2	0.950	0.050	1.950	0.920	0.930	false	0.781
wf_567bf3e9-b14#adb5628cb7ddba763#nonConflictConcerns#1 | wf_567bf3e9-b14#a319509c7b12dd47a#nonConflictConcerns#1	2	0.700	0.250	1.650	0.480	0.930	false	0.763
wf_567bf3e9-b14#a602395482e0addd7#nonConflictConcerns#2 | wf_567bf3e9-b14#a99ca1b69cf72fd4a#nonConflictConcerns#2	2	0.910	0.090	1.910	0.860	0.880	false	0.758
wf_567bf3e9-b14#adb5628cb7ddba763#nonConflictConcerns#3 | wf_567bf3e9-b14#a319509c7b12dd47a#nonConflictConcerns#3	2	0.930	0.070	1.930	0.890	0.950	false	0.757
wf_567bf3e9-b14#a49d68152600096df#nonConflictConcerns#0 | wf_567bf3e9-b14#a3ea50c36bbb39782#nonConflictConcerns#0	2	0.990	0.010	1.990	0.980	0.950	false	0.705
wf_567bf3e9-b14#adb5628cb7ddba763#nonConflictConcerns#5 | wf_567bf3e9-b14#a319509c7b12dd47a#nonConflictConcerns#5	2	0.880	0.120	1.880	0.810	0.960	false	0.693
wf_567bf3e9-b14#a602395482e0addd7#nonConflictConcerns#1 | wf_567bf3e9-b14#a99ca1b69cf72fd4a#nonConflictConcerns#1	2	0.990	0.010	1.990	0.990	0.940	false	0.646
wf_567bf3e9-b14#a2f6bcdf4a2c736aa#nonConflictConcerns#0 | wf_567bf3e9-b14#ac33b060ce23f61f6#nonConflictConcerns#0	2	0.900	0.090	1.890	0.830	0.960	false	0.645
wf_567bf3e9-b14#a5b9f7563dc2bcafe#nonConflictConcerns#2 | wf_567bf3e9-b14#ad8987f773451cba5#nonConflictConcerns#2	2	0.940	0.060	1.930	0.900	0.920	false	0.610
wf_567bf3e9-b14#a602395482e0addd7#nonConflictConcerns#0 | wf_567bf3e9-b14#a99ca1b69cf72fd4a#nonConflictConcerns#0	2	0.840	0.160	1.840	0.760	0.940	false	0.606
wf_567bf3e9-b14#a5b9f7563dc2bcafe#nonConflictConcerns#1 | wf_567bf3e9-b14#ad8987f773451cba5#nonConflictConcerns#1	2	0.980	0.020	1.970	0.960	0.970	false	0.549
wf_567bf3e9-b14#a5b9f7563dc2bcafe#nonConflictConcerns#0 | wf_567bf3e9-b14#ad8987f773451cba5#nonConflictConcerns#0	2	0.530	0.460	1.510	0.270	0.970	false	0.500
wf_b431194a-57b#a8ce10d5241f27736#findings#2 | wf_b431194a-57b#a7d61403c27cc9f37#findings#2	1	0.320	0.430	1.070	0.140	0.920	false	0.481
wf_ff0be015-683#afa04044ed09bb175#findings#0 | wf_ff0be015-683#af5c8c3a408b14a78#findings#0	2	0.990	0.010	1.990	0.980	0.060	false	0.479
wf_ff0be015-683#a5d3efe1f4b8755d1#findings#0 | wf_ff0be015-683#afa04044ed09bb175#findings#0	2	0.960	0.040	1.960	0.940	0.310	false	0.444
wf_b431194a-57b#a8ce10d5241f27736#findings#1 | wf_b431194a-57b#a411170a4cc265146#findings#0	2	0.890	0.110	1.890	0.830	0.950	false	0.431
wf_567bf3e9-b14#a49d68152600096df#nonConflictConcerns#1 | wf_567bf3e9-b14#a3ea50c36bbb39782#nonConflictConcerns#1	0	0.010	0.210	0.240	0.650	0.980	false	0.410
wf_76c8d6d2-86c#abd6ba32b2e7c84c4#findings#1 | wf_76c8d6d2-86c#a92f7f0ba87a63b0b#findings#0	2	0.850	0.150	1.840	0.760	0.880	false	0.407
wf_5769d01d-035#ab8454c3222ddbfc5#findings#0 | wf_5769d01d-035#af63930efbc52f1e8#findings#0	1	0.340	0.610	1.300	0.410	0.910	false	0.390
wf_f908b7d5-fb7#a6105e7306a822735#findings#1 | wf_f908b7d5-fb7#a8d26111da16046cd#findings#0	2	0.700	0.260	1.670	0.510	0.870	false	0.377
wf_285c2261-1eb#abfb4a5c4762356cc#findings#0 | wf_285c2261-1eb#a96168e2a90968988#findings#1	2	0.580	0.370	1.520	0.290	0.200	false	0.360
wf_76c8d6d2-86c#a36c1747d75e363c4#findings#0 | wf_76c8d6d2-86c#a92f7f0ba87a63b0b#findings#0	2	0.760	0.230	1.750	0.620	0.890	false	0.355
wf_d17ca8ef-665#a82b6ecd154600121#findings#1 | wf_d17ca8ef-665#a2a7acf8f23aabff5#findings#0	2	0.540	0.430	1.510	0.270	0.840	false	0.355
wf_25b7ecd7-e1a#a370160af115c5f83#findings#1 | wf_25b7ecd7-e1a#a7e5c015462665642#findings#0	1	0.230	0.690	1.150	0.540	0.750	false	0.355
wf_d17ca8ef-665#a82b6ecd154600121#findings#2 | wf_d17ca8ef-665#a4134169cb7900b30#findings#0	2	0.920	0.070	1.910	0.860	0.960	false	0.348
wf_01332151-8dd#a5292545d4a68af1e#findings#3 | wf_01332151-8dd#ae343d42afc49ed0e#findings#4	2	0.590	0.410	1.580	0.370	0.690	false	0.347
wf_ff0be015-683#afa04044ed09bb175#findings#3 | wf_ff0be015-683#a03e9855e2e484263#findings#2	2	0.900	0.100	1.890	0.840	0.200	false	0.325
wf_01332151-8dd#a9331dec828cb9801#findings#1 | wf_01332151-8dd#ada8a2fac213c9682#findings#0	2	0.830	0.170	1.830	0.740	0.880	false	0.321
wf_ff0be015-683#a5d3efe1f4b8755d1#findings#1 | wf_ff0be015-683#a03e9855e2e484263#findings#2	2	0.810	0.190	1.800	0.700	0.140	false	0.321
wf_77650a4c-eec#aeb6fcf137bd4291a#findings#1 | wf_77650a4c-eec#a4e287a1b2b197430#findings#1	2	0.770	0.230	1.770	0.650	0.700	false	0.317
wf_4a5a3d4b-cc1#a0123055e3bd8414b#findings#2 | wf_4a5a3d4b-cc1#a0123055e3bd8414b#findings#3	0	0.030	0.180	0.240	0.640	0.810	false	0.314
wf_f908b7d5-fb7#a6105e7306a822735#findings#0 | wf_f908b7d5-fb7#a8d26111da16046cd#findings#2	1	0.230	0.560	1.010	0.340	0.960	false	0.309
wf_b431194a-57b#a411170a4cc265146#findings#1 | wf_b431194a-57b#a7d61403c27cc9f37#findings#2	1	0.260	0.500	1.010	0.250	0.930	false	0.309
