row_id	class	choice	score	p_contradicted	p_needs_addition	p_unaffected	p_not_checkable	confidence
json-iterator#8fc0f60#json-iterator/src/main/java/systems/comodal/jsoniter/JsonIterator.java#JsonIterator.readMap(M, CharBufferFunction<K>, BiFunction<K, JsonIterator, V>)	CO_EDIT	unaffected	0.310	0.120	0.190	0.680	0.010	0.560
json-iterator#d6e00fa#json-iterator/src/main/java/systems/comodal/jsoniter/BytesJsonIterator.java#BytesJsonIterator.widenToCharBuf(int)	BODY_ONLY	unaffected	0.370	0.040	0.330	0.630	0.000	0.500
json-iterator#db15a1b#json-iterator/src/main/java/systems/comodal/jsoniter/JsonIterator.java#JsonIterator.readByteArray()	BODY_ONLY	unaffected	0.430	0.190	0.240	0.510	0.060	0.350
json-iterator#db15a1b#json-iterator/src/main/java/systems/comodal/jsoniter/JsonIterator.java#JsonIterator.readIntArray()	BODY_ONLY	unaffected	0.140	0.040	0.100	0.740	0.120	0.650
json-iterator#db15a1b#json-iterator/src/main/java/systems/comodal/jsoniter/JsonIterator.java#JsonIterator.readLongArray()	BODY_ONLY	unaffected	0.130	0.050	0.080	0.790	0.080	0.720
json-iterator#eb87b90#systems.comodal.json_iterator/src/main/java/systems/comodal/jsoniter/JsonIterator.java#JsonIterator.applyChars(CharBufferFunction<R>)	BODY_ONLY	contradicted_by_change	0.500	0.390	0.110	0.250	0.250	0.180
json-iterator#eb87b90#systems.comodal.json_iterator/src/main/java/systems/comodal/jsoniter/JsonIterator.java#JsonIterator.readNull()	BODY_ONLY	unaffected	0.270	0.080	0.190	0.690	0.040	0.590
ravina#5578c86#ravina-solana/src/main/java/software/sava/services/solana/epoch/EpochInfoServiceImpl.java#EpochInfoServiceImpl.checkCycle(Cycle, boolean)	BODY_ONLY	needs_addition	0.670	0.080	0.590	0.310	0.020	0.460
ravina#5578c86#ravina-solana/src/main/java/software/sava/services/solana/epoch/EpochInfoServiceImpl.java#EpochInfoServiceImpl.start()	BODY_ONLY	needs_addition	0.700	0.290	0.410	0.290	0.010	0.200
ravina#5578c86#ravina-solana/src/main/java/software/sava/services/solana/epoch/SlotPerformanceStats.java#SlotPerformanceStats.calculateStats(List<PerfSample>, int, int)	BODY_ONLY	needs_addition	0.660	0.010	0.650	0.340	0.000	0.540
ravina#e88e05b#ravina-solana/src/main/java/software/sava/services/solana/transactions/TxMonitorService.java#TxMonitorService.createService(ChainItemFormatter, RpcCaller, EpochInfoService, WebSocketManager, Duration, Duration, TxPublisher, Duration, int)	BODY_ONLY	unaffected	0.200	0.080	0.120	0.700	0.100	0.600
sava#00348f3#sava-core/src/main/java/software/sava/core/tx/Transaction.java#Transaction.exceedsInstructionLimit()	BODY_ONLY	needs_addition	0.590	0.260	0.330	0.220	0.190	0.110
sava#05a4294#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java#SolanaJsonRpcWebsocket$Connection.killedSubIds	CO_EDIT	needs_addition	0.690	0.310	0.380	0.270	0.040	0.170
sava#05a4294#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java#SolanaJsonRpcWebsocket.deferredBuild(long, AttemptListener)	BODY_ONLY	needs_addition	0.520	0.010	0.510	0.470	0.010	0.350
sava#05a4294#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java#SolanaJsonRpcWebsocket.equivalentRequests(Subscription<?>, Subscription<?>)	CO_EDIT	needs_addition	0.490	0.040	0.450	0.360	0.150	0.270
sava#05a4294#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java#SolanaJsonRpcWebsocket.sendUnSubscriptionLockHeld(Connection, String, BigInteger)	BODY_ONLY	needs_addition	0.680	0.170	0.510	0.320	0.000	0.330
sava#0d4f07a#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java#SolanaJsonRpcWebsocket.sendSubscription(Connection, Subscription<?>)	BODY_ONLY	needs_addition	0.730	0.350	0.380	0.250	0.020	0.170
sava#0d68f02#sava-core/src/main/java/software/sava/core/accounts/sysvar/Rent.java#Rent.minimumBalance(long)	CO_EDIT	needs_addition	0.510	0.020	0.490	0.460	0.030	0.310
sava#0f6e808#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java#SolanaJsonRpcWebsocket.consumerThrew(String, RuntimeException)	BODY_ONLY	needs_addition	0.520	0.050	0.470	0.370	0.110	0.290
sava#2c70f78#sava-core/src/main/java/software/sava/core/accounts/SolanaAccounts.java#SolanaAccounts.stakeConfig()	BODY_ONLY	unaffected	0.390	0.220	0.170	0.310	0.300	0.090
sava#442addf#sava-core/src/main/java/software/sava/core/tx/Transaction.java#Transaction.exceedsSizeLimit()	BODY_ONLY	needs_addition	0.600	0.150	0.450	0.290	0.110	0.260
sava#442addf#sava-core/src/main/java/software/sava/core/tx/Transaction.java#Transaction.sign(Signer, byte[])	BODY_ONLY	needs_addition	0.580	0.220	0.360	0.340	0.080	0.150
sava#442addf#sava-core/src/main/java/software/sava/core/tx/Transaction.java#Transaction.signInOrder(SequencedCollection<Signer>, byte[])	BODY_ONLY	unaffected	0.170	0.060	0.110	0.600	0.230	0.470
sava#442addf#sava-core/src/main/java/software/sava/core/tx/Transaction.java#Transaction.signInOrder(SequencedCollection<Signer>, byte[], int, int, int)	BODY_ONLY	unaffected	0.320	0.040	0.280	0.660	0.010	0.550
sava#52dce85#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java#SolanaJsonRpcWebsocket.checkCycle(long)	BODY_ONLY	contradicted_by_change	0.750	0.420	0.330	0.120	0.130	0.220
sava#52dce85#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java#SolanaJsonRpcWebsocket.connect()	BODY_ONLY	unaffected	0.420	0.090	0.330	0.540	0.040	0.400
sava#52dce85#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java#SolanaJsonRpcWebsocket.escalateUnanswered(Connection, long)	BODY_ONLY	needs_addition	0.830	0.400	0.430	0.170	0.000	0.240
sava#52dce85#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java#SolanaJsonRpcWebsocket.ownBuild(CompletableFuture<WebSocket>, long)	BODY_ONLY	needs_addition	0.620	0.130	0.490	0.380	0.000	0.310
sava#52dce85#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java#SolanaJsonRpcWebsocket.releaseChannelSlot(Subscription<?>)	BODY_ONLY	needs_addition	0.800	0.030	0.770	0.180	0.020	0.710
sava#52dce85#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java#SolanaJsonRpcWebsocket.retainedRegistrations()	BODY_ONLY	needs_addition	0.820	0.010	0.810	0.170	0.010	0.760
sava#52dce85#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaRpcWebsocket.java#SolanaRpcWebsocket$Builder.connectTimeout(long)	CO_EDIT	needs_addition	0.810	0.320	0.490	0.140	0.050	0.320
sava#52dce85#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaRpcWebsocket.java#SolanaRpcWebsocket.lastMessageReceivedTimestamp()	CO_EDIT	needs_addition	0.720	0.340	0.380	0.270	0.010	0.170
sava#52dce85#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/Subscription.java#Subscription.notificationMethod()	CO_EDIT	needs_addition	0.790	0.080	0.710	0.200	0.010	0.620
sava#57bd947#sava-core/src/main/java/software/sava/core/tx/Transaction.java#Transaction.signInOrder(SequencedCollection<Signer>)	BODY_ONLY	unaffected	0.340	0.240	0.100	0.510	0.150	0.340
sava#5aa18c5#sava-core/src/main/java/software/sava/core/tx/TransactionSkeleton.java#TransactionSkeleton.createTransaction(LookupTableAccountMeta[])	CO_EDIT	contradicted_by_change	0.810	0.680	0.130	0.080	0.110	0.570
sava#6bdbfb1#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java#SolanaJsonRpcWebsocket$Connection.escalated	CO_EDIT	unaffected	0.260	0.030	0.230	0.650	0.090	0.530
sava#6bdbfb1#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java#SolanaJsonRpcWebsocket.flushPendingUnSubscriptions(Connection, long)	BODY_ONLY	needs_addition	0.600	0.110	0.490	0.360	0.040	0.320
sava#6e70c7d#sava-core/src/main/java/software/sava/core/tx/TxBuilderImpl.java#TxBuilderImpl.createTransaction()	BODY_ONLY	unaffected	0.330	0.010	0.320	0.660	0.010	0.550
sava#7f336b4#sava-rpc/src/main/java/software/sava/rpc/json/http/client/SolanaRpcClient.java#SolanaRpcClient.getMultipleAccounts(SequencedCollection<PublicKey>, BiFunction<PublicKey, byte[], T>)	BODY_ONLY	unaffected	0.080	0.040	0.040	0.780	0.140	0.710
sava#82987fe#sava-core/src/main/java/software/sava/core/tx/TransactionRecord.java#TransactionRecord.priorityFeeLamportsToComputeUnitPrice(long, int)	BODY_ONLY	needs_addition	0.680	0.060	0.620	0.320	0.000	0.480
sava#8fc443d#sava-core/src/main/java/software/sava/core/accounts/PublicKey.java#PublicKey.createWithSeed(PublicKey, String, PublicKey)	CO_EDIT	unaffected	0.260	0.010	0.250	0.730	0.010	0.640
sava#91bc814#sava-core/src/main/java/software/sava/core/accounts/PublicKey.java#PublicKey.createOffCurveAccountWithAsciiSeed(PublicKey, String, PublicKey)	CO_EDIT	needs_addition	0.580	0.040	0.540	0.400	0.020	0.400
sava#a44220f#sava-core/src/main/java/software/sava/core/tx/TransactionSkeleton.java#TransactionSkeleton.deserializeSkeleton(byte[])	CO_EDIT	unaffected	0.530	0.150	0.380	0.460	0.010	0.280
sava#a44220f#sava-core/src/main/java/software/sava/core/tx/TransactionSkeleton.java#TransactionSkeleton.prototypeTransaction(Instruction[])	CO_EDIT	unaffected	0.440	0.150	0.290	0.540	0.020	0.390
sava#b24a296#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java#SolanaJsonRpcWebsocket.buildReservedAttempt(long, CompletableFuture<WebSocket>)	BODY_ONLY	unaffected	0.420	0.230	0.190	0.440	0.140	0.250
sava#b24a296#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java#SolanaJsonRpcWebsocket.claimPingDeadlineTransition(PingDeadlineTransition)	BODY_ONLY	needs_addition	0.650	0.100	0.550	0.350	0.000	0.390
sava#b24a296#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java#SolanaJsonRpcWebsocket.deliverEscalation(Connection, Throwable)	BODY_ONLY	unaffected	0.230	0.060	0.170	0.750	0.020	0.670
sava#b24a296#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java#SolanaJsonRpcWebsocket.prepareCheckCycleDelivery(long)	BODY_ONLY	unaffected	0.100	0.040	0.060	0.850	0.050	0.790
sava#b3a2a1c#sava-core/src/main/java/software/sava/core/tx/TxBuilder.java#TxBuilder.buildV1()	BODY_ONLY	unaffected	0.230	0.010	0.220	0.760	0.010	0.680
sava#b4c0afe#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java#SolanaJsonRpcWebsocket.adopt(WebSocket, long)	BODY_ONLY	needs_addition	0.610	0.040	0.570	0.390	0.000	0.420
sava#b4c0afe#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java#SolanaJsonRpcWebsocket.connectionFor(WebSocket)	BODY_ONLY	unaffected	0.350	0.030	0.320	0.510	0.140	0.340
sava#b4c0afe#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java#SolanaJsonRpcWebsocket.handlePendingSubscriptions(Connection)	BODY_ONLY	needs_addition	0.670	0.220	0.450	0.280	0.050	0.270
sava#b4c0afe#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java#SolanaJsonRpcWebsocket.recordFailedPing(Connection, PingProbe, Throwable)	CO_EDIT	unaffected	0.450	0.100	0.350	0.540	0.010	0.380
sava#b4c0afe#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java#SolanaJsonRpcWebsocket.startBuild(long, CompletableFuture<WebSocket>)	BODY_ONLY	unaffected	0.510	0.120	0.390	0.450	0.040	0.260
sava#dabfe20#sava-core/src/main/java/software/sava/core/tx/Transaction.java#Transaction.exceedsSignatureLimit()	CO_EDIT	contradicted_by_change	0.980	0.910	0.070	0.020	0.000	0.880
sava#dabfe20#sava-core/src/main/java/software/sava/core/tx/Transaction.java#Transaction.numAccounts()	CO_EDIT	unaffected	0.140	0.020	0.120	0.830	0.030	0.770
sava#dabfe20#sava-core/src/main/java/software/sava/core/tx/Transaction.java#Transaction.setAccountDataSizeLimit(int)	CO_EDIT	contradicted_by_change	0.970	0.960	0.010	0.010	0.020	0.950
sava#dabfe20#sava-core/src/main/java/software/sava/core/tx/Transaction.java#Transaction.setComputeUnitLimit(int)	CO_EDIT	contradicted_by_change	0.990	0.990	0.000	0.000	0.010	0.980
sava#dabfe20#sava-core/src/main/java/software/sava/core/tx/Transaction.java#Transaction.setHeapSize(int)	CO_EDIT	contradicted_by_change	1.000	0.990	0.010	0.000	0.000	0.980
sava#dabfe20#sava-core/src/main/java/software/sava/core/tx/Transaction.java#Transaction.setPriorityFeeLamports(long)	CO_EDIT	contradicted_by_change	0.890	0.860	0.030	0.060	0.050	0.820
sava#dabfe20#sava-core/src/main/java/software/sava/core/tx/Transaction.java#Transaction.setPriorityFeeLamportsFromComputeUnitPrice(long)	CO_EDIT	contradicted_by_change	0.990	0.980	0.010	0.010	0.000	0.970
sava#dabfe20#sava-core/src/main/java/software/sava/core/tx/Transaction.java#Transaction.setPriorityFeeLamportsFromComputeUnitPrice(long, int)	CO_EDIT	contradicted_by_change	0.990	0.990	0.000	0.000	0.010	0.980
sava#dabfe20#sava-core/src/main/java/software/sava/core/tx/TransactionSkeleton.java#TransactionSkeleton.heapSize()	CO_EDIT	unaffected	0.330	0.110	0.220	0.640	0.030	0.520
sava#dabfe20#sava-core/src/main/java/software/sava/core/tx/TransactionSkeleton.java#TransactionSkeleton.priorityFeeLamports()	CO_EDIT	unaffected	0.490	0.180	0.310	0.380	0.130	0.180
sava#dd4baa5#rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java#SolanaJsonRpcWebsocket.transactionSubscribe(Commitment, boolean, boolean, Collection<PublicKey>, Collection<PublicKey>, Collection<PublicKey>, TransactionDetails, boolean, Consumer<TxResult>)	CO_EDIT	not_checkable	0.340	0.130	0.210	0.180	0.480	0.320
sava#f91ad69#sava-core/src/main/java/software/sava/core/tx/V1TransactionSkeleton.java#V1TransactionSkeleton.requireIncludedInstructionAccount(AccountMeta[], int)	CO_EDIT	unaffected	0.600	0.220	0.380	0.400	0.000	0.200
